feature,feature_id,band,band_label,pct_missing_0,pct_missing_1-4,pct_missing_5-9,pct_missing_10-19,pct_missing_20-49,pct_missing_50+
Amplitude,57,1,g,100.0,100.0,84.71,37.3,13.05,1.84
Amplitude,57,2,r,100.0,100.0,89.46,43.06,12.22,1.75
AndersonDarling,58,1,g,100.0,100.0,84.71,37.3,13.05,1.84
AndersonDarling,58,2,r,100.0,100.0,89.46,43.06,12.22,1.75
Autocor_length,59,1,g,100.0,100.0,84.71,37.3,13.05,1.84
Autocor_length,59,2,r,100.0,100.0,89.46,43.06,12.22,1.75
Beyond1Std,60,1,g,100.0,100.0,84.71,37.3,13.05,1.84
Beyond1Std,60,2,r,100.0,100.0,89.46,43.06,12.22,1.75
Con,61,1,g,100.0,100.0,84.71,37.3,13.05,1.84
Con,61,2,r,100.0,100.0,89.46,43.06,12.22,1.75
Eta_e,62,1,g,100.0,100.0,84.71,37.3,13.05,1.84
Eta_e,62,2,r,100.0,100.0,89.46,43.06,12.22,1.75
ExcessVar,78,1,g,100.0,100.0,84.71,37.3,13.05,1.84
ExcessVar,78,2,r,100.0,100.0,89.46,43.06,12.22,1.75
GP_DRW_sigma,28,1,g,100.0,100.0,70.59,29.83,9.55,0.71
GP_DRW_sigma,28,2,r,100.0,100.0,77.82,34.51,8.74,0.52
GP_DRW_tau,29,1,g,100.0,100.0,70.59,29.83,9.55,0.71
GP_DRW_tau,29,2,r,100.0,100.0,77.82,34.51,8.74,0.52
Gskew,63,1,g,100.0,100.0,84.71,37.3,13.05,1.84
Gskew,63,2,r,100.0,100.0,89.46,43.06,12.22,1.75
Harmonics_chi,43,1,g,94.0,89.11,59.63,32.17,11.21,1.8
Harmonics_chi,43,2,r,95.85,90.3,66.7,39.74,11.0,1.51
Harmonics_mag_1,44,1,g,93.44,87.92,58.17,31.06,11.09,1.8
Harmonics_mag_1,44,2,r,95.37,89.05,65.23,37.93,10.81,1.47
Harmonics_mag_2,45,1,g,93.44,87.92,58.17,31.06,11.09,1.8
Harmonics_mag_2,45,2,r,95.37,89.05,65.23,37.93,10.81,1.47
Harmonics_mag_3,47,1,g,93.44,87.92,58.17,31.06,11.09,1.8
Harmonics_mag_3,47,2,r,95.37,89.05,65.23,37.93,10.81,1.47
Harmonics_mag_4,49,1,g,93.44,87.92,58.17,31.06,11.09,1.8
Harmonics_mag_4,49,2,r,95.37,89.05,65.23,37.93,10.81,1.47
Harmonics_mag_5,51,1,g,93.44,87.92,58.17,31.06,11.09,1.8
Harmonics_mag_5,51,2,r,95.37,89.05,65.23,37.93,10.81,1.47
Harmonics_mag_6,53,1,g,93.44,87.92,58.17,31.06,11.09,1.8
Harmonics_mag_6,53,2,r,95.37,89.05,65.23,37.93,10.81,1.47
Harmonics_mag_7,55,1,g,93.44,87.92,58.17,31.06,11.09,1.8
Harmonics_mag_7,55,2,r,95.37,89.05,65.23,37.93,10.81,1.47
Harmonics_mse,42,1,g,93.44,87.92,58.17,31.06,11.09,1.8
Harmonics_mse,42,2,r,95.37,89.05,65.23,37.93,10.81,1.47
Harmonics_phase_2,46,1,g,93.44,87.92,58.17,31.06,11.09,1.8
Harmonics_phase_2,46,2,r,95.37,89.05,65.23,37.93,10.81,1.47
Harmonics_phase_3,48,1,g,93.44,87.92,58.17,31.06,11.09,1.8
Harmonics_phase_3,48,2,r,95.37,89.05,65.23,37.93,10.81,1.47
Harmonics_phase_4,50,1,g,93.44,87.92,58.17,31.06,11.09,1.8
Harmonics_phase_4,50,2,r,95.37,89.05,65.23,37.93,10.81,1.47
Harmonics_phase_5,52,1,g,93.44,87.92,58.17,31.06,11.09,1.8
Harmonics_phase_5,52,2,r,95.37,89.05,65.23,37.93,10.81,1.47
Harmonics_phase_6,54,1,g,93.44,87.92,58.17,31.06,11.09,1.8
Harmonics_phase_6,54,2,r,95.37,89.05,65.23,37.93,10.81,1.47
Harmonics_phase_7,56,1,g,93.44,87.92,58.17,31.06,11.09,1.8
Harmonics_phase_7,56,2,r,95.37,89.05,65.23,37.93,10.81,1.47
IAR_phi,81,1,g,100.0,100.0,84.71,37.3,13.05,1.84
IAR_phi,81,2,r,100.0,100.0,89.46,43.06,12.22,1.75
LinearTrend,82,1,g,100.0,100.0,84.71,37.3,13.05,1.84
LinearTrend,82,2,r,100.0,100.0,89.46,43.06,12.22,1.75
MHPS_PN_flag,24,1,g,100.0,99.84,91.83,67.95,32.86,4.03
MHPS_PN_flag,24,2,r,100.0,99.81,91.45,67.31,33.9,3.45
MHPS_high,22,1,g,100.0,99.86,91.95,68.36,32.86,4.03
MHPS_high,22,2,r,100.0,99.81,91.54,67.57,34.03,3.49
MHPS_high_30,27,1,g,100.0,99.86,91.95,68.36,32.8,3.94
MHPS_high_30,27,2,r,100.0,99.8,91.54,67.57,34.03,3.49
MHPS_low,21,1,g,100.0,99.86,91.95,68.24,32.86,4.03
MHPS_low,21,2,r,100.0,99.81,91.54,67.52,33.9,3.45
