feature,feature_id,band,band_label,pct_missing_2-4,pct_missing_5-9,pct_missing_10-19,pct_missing_20-49,pct_missing_50-99,pct_missing_100+
Amplitude,57,1,g,100.0,98.83,82.6,41.27,19.56,6.9
Amplitude,57,2,r,100.0,98.13,80.85,49.31,21.24,6.07
AndersonDarling,58,1,g,100.0,98.83,82.6,41.27,19.56,6.9
AndersonDarling,58,2,r,100.0,98.13,80.85,49.31,21.24,6.07
Autocor_length,59,1,g,100.0,98.83,82.6,41.27,19.56,6.9
Autocor_length,59,2,r,100.0,98.13,80.85,49.31,21.24,6.07
Beyond1Std,60,1,g,100.0,98.83,82.6,41.27,19.56,6.9
Beyond1Std,60,2,r,100.0,98.13,80.85,49.31,21.24,6.07
Con,61,1,g,100.0,98.83,82.6,41.27,19.56,6.9
Con,61,2,r,100.0,98.13,80.85,49.31,21.24,6.07
Coordinate_x,124,0,-,0.0,0.0,0.0,0.0,0.0,0.0
Coordinate_y,125,0,-,0.0,0.0,0.0,0.0,0.0,0.0
Coordinate_z,126,0,-,0.0,0.0,0.0,0.0,0.0,0.0
Eta_e,62,1,g,100.0,98.83,82.6,41.27,19.56,6.9
Eta_e,62,2,r,100.0,98.13,80.85,49.31,21.24,6.07
ExcessVar,78,1,g,100.0,98.83,82.6,41.27,19.56,6.9
ExcessVar,78,2,r,100.0,98.13,80.85,49.31,21.24,6.07
GP_DRW_sigma,28,1,g,100.0,96.34,73.1,35.57,15.74,5.79
GP_DRW_sigma,28,2,r,100.0,95.04,73.86,43.65,17.42,4.73
GP_DRW_tau,29,1,g,100.0,96.34,73.1,35.57,15.74,5.79
GP_DRW_tau,29,2,r,100.0,95.04,73.86,43.65,17.42,4.73
Gskew,63,1,g,100.0,98.83,82.6,41.27,19.56,6.9
Gskew,63,2,r,100.0,98.13,80.85,49.31,21.24,6.07
Harmonics_chi,43,1,g,95.63,78.4,55.25,28.91,11.15,3.23
Harmonics_chi,43,2,r,95.99,79.97,56.97,34.92,13.9,5.0
Harmonics_mag_1,44,1,g,94.82,76.77,53.67,28.22,11.08,3.15
Harmonics_mag_1,44,2,r,95.19,78.06,55.56,33.54,13.52,4.93
Harmonics_mag_2,45,1,g,94.82,76.77,53.67,28.22,11.08,3.15
Harmonics_mag_2,45,2,r,95.19,78.06,55.56,33.54,13.52,4.93
Harmonics_mag_3,47,1,g,94.82,76.77,53.67,28.22,11.08,3.15
