feature,feature_id,band,band_label,n_objects,pct_missing
MHPS_high,22,1,g,4330,90.71
MHPS_ratio,20,1,g,4330,90.71
MHPS_low,21,1,g,4332,90.71
MHPS_high_30,27,1,g,4333,90.70
MHPS_ratio_365_30,25,1,g,4333,90.70
MHPS_low_365,26,1,g,4337,90.70
MHPS_PN_flag,24,1,g,4348,90.67
MHPS_non_zero,23,1,g,4348,90.67
dbrightness_first_det_band,104,2,r,4483,90.38
dbrightness_forced_phot_band,105,2,r,4483,90.38
MHPS_high,22,2,r,4554,90.23
MHPS_ratio,20,2,r,4554,90.23
MHPS_high_30,27,2,r,4555,90.23
MHPS_ratio_365_30,25,2,r,4555,90.23
MHPS_low,21,2,r,4558,90.22
MHPS_low_365,26,2,r,4560,90.22
MHPS_PN_flag,24,2,r,4566,90.21
MHPS_non_zero,23,2,r,4566,90.21
dbrightness_first_det_band,104,1,g,4714,89.89
dbrightness_forced_phot_band,105,1,g,4714,89.89
Amplitude,57,2,r,5452,88.30
AndersonDarling,58,2,r,5452,88.30
Autocor_length,59,2,r,5452,88.30
Beyond1Std,60,2,r,5452,88.30
Con,61,2,r,5452,88.30
Eta_e,62,2,r,5452,88.30
ExcessVar,78,2,r,5452,88.30
Gskew,63,2,r,5452,88.30
IAR_phi,81,2,r,5452,88.30
LinearTrend,82,2,r,5452,88.30
MaxSlope,64,2,r,5452,88.30
Mean,65,2,r,5452,88.30
Meanvariance,66,2,r,5452,88.30
MedianAbsDev,67,2,r,5452,88.30
MedianBRP,68,2,r,5452,88.30
PairSlopeTrend,69,2,r,5452,88.30
PercentAmplitude,70,2,r,5452,88.30
Pvar,77,2,r,5452,88.30
Q31,71,2,r,5452,88.30
Rcs,72,2,r,5452,88.30
SF_ML_amplitude,79,2,r,5452,88.30
SF_ML_gamma,80,2,r,5452,88.30
Skew,73,2,r,5452,88.30
SmallKurtosis,74,2,r,5452,88.30
Std,75,2,r,5452,88.30
StetsonK,76,2,r,5452,88.30
Amplitude,57,1,g,5508,88.18
AndersonDarling,58,1,g,5508,88.18
Autocor_length,59,1,g,5508,88.18
Beyond1Std,60,1,g,5508,88.18
Con,61,1,g,5508,88.18
Eta_e,62,1,g,5508,88.18
ExcessVar,78,1,g,5508,88.18
Gskew,63,1,g,5508,88.18
IAR_phi,81,1,g,5508,88.18
LinearTrend,82,1,g,5508,88.18
MaxSlope,64,1,g,5508,88.18
Mean,65,1,g,5508,88.18
Meanvariance,66,1,g,5508,88.18
MedianAbsDev,67,1,g,5508,88.18
MedianBRP,68,1,g,5508,88.18
PairSlopeTrend,69,1,g,5508,88.18
PercentAmplitude,70,1,g,5508,88.18
Pvar,77,1,g,5508,88.18
Q31,71,1,g,5508,88.18
Rcs,72,1,g,5508,88.18
SF_ML_amplitude,79,1,g,5508,88.18
SF_ML_gamma,80,1,g,5508,88.18
Skew,73,1,g,5508,88.18
SmallKurtosis,74,1,g,5508,88.18
Std,75,1,g,5508,88.18
StetsonK,76,1,g,5508,88.18
GP_DRW_sigma,28,2,r,6221,86.65
GP_DRW_tau,29,2,r,6221,86.65
Psi_CS,40,2,r,6245,86.60
Psi_eta,41,2,r,6245,86.60
GP_DRW_sigma,28,1,g,6301,86.48
GP_DRW_tau,29,1,g,6301,86.48
Psi_CS,40,1,g,6737,85.55
Psi_eta,41,1,g,6737,85.55
last_brightness_before_band,106,1,g,7983,82.87
max_brightness_before_band,107,1,g,7983,82.87
median_brightness_before_band,108,1,g,7983,82.87
last_brightness_before_band,106,2,r,8254,82.29
max_brightness_before_band,107,2,r,8254,82.29
median_brightness_before_band,108,2,r,8254,82.29
TDE_decay_chi,92,1,g,8483,81.80
Harmonics_chi,43,2,r,9634,79.33
TDE_decay_chi,92,2,r,9650,79.30
color_variation,101,12,gr,9734,79.12
Period_band,32,2,r,9916,78.73
delta_period,33,2,r,9916,78.73
Harmonics_mag_1,44,2,r,10130,78.27
Harmonics_mag_2,45,2,r,10130,78.27
Harmonics_mag_3,47,2,r,10130,78.27
