version,name,fid,n,n_null,nan_pct
27.5.6,Amplitude,1,4472098,2966118,66.32497767267175
27.5.6,Amplitude,2,4472098,2949990,65.96434156854345
27.5.6,AndersonDarling,1,4472098,2966118,66.32497767267175
27.5.6,AndersonDarling,2,4472098,2949990,65.96434156854345
27.5.6,Autocor_length,1,4472098,2966118,66.32497767267175
27.5.6,Autocor_length,2,4472098,2949990,65.96434156854345
27.5.6,Beyond1Std,1,4472098,2966118,66.32497767267175
27.5.6,Beyond1Std,2,4472098,2949990,65.96434156854345
27.5.6,color_variation,12,4473306,2639491,59.00537544268154
27.5.6,Con,1,4472098,2966118,66.32497767267175
27.5.6,Con,2,4472098,2949990,65.96434156854345
27.5.6,Coordinate_x,0,4473306,0,0.0
27.5.6,Coordinate_y,0,4473306,0,0.0
27.5.6,Coordinate_z,0,4473306,0,0.0
27.5.6,dbrightness_first_det_band,1,4473306,4074595,91.0868829451864
27.5.6,dbrightness_first_det_band,2,4473306,4047544,90.48216240963619
27.5.6,dbrightness_forced_phot_band,1,4473306,4074595,91.0868829451864
27.5.6,dbrightness_forced_phot_band,2,4473306,4047544,90.48216240963619
27.5.6,delta_period,1,4472098,2272661,50.818676156023415
27.5.6,delta_period,2,4472098,2345472,52.44679342894543
27.5.6,distpsnr1,0,4473306,1229830,27.492641907349956
27.5.6,Eta_e,1,4472098,2966118,66.32497767267175
27.5.6,Eta_e,2,4472098,2949990,65.96434156854345
27.5.6,ExcessVar,1,4472098,2966118,66.32497767267175
27.5.6,ExcessVar,2,4472098,2949990,65.96434156854345
27.5.6,fleet_a,1,4473306,1967593,43.985209149564106
27.5.6,fleet_a,2,4473306,2036699,45.53006210619171
27.5.6,fleet_chi,1,4473306,2184680,48.83815236426929
27.5.6,fleet_chi,2,4473306,2258913,50.49761853984503
27.5.6,fleet_m0,1,4473306,1967593,43.985209149564106
27.5.6,fleet_m0,2,4473306,2036699,45.53006210619171
27.5.6,fleet_t0,1,4473306,1967593,43.985209149564106
27.5.6,fleet_t0,2,4473306,2036699,45.53006210619171
27.5.6,fleet_w,1,4473306,1967593,43.985209149564106
27.5.6,fleet_w,2,4473306,2036699,45.53006210619171
27.5.6,GP_DRW_sigma,1,4472098,2828353,63.244432478894694
27.5.6,GP_DRW_sigma,2,4472098,2830654,63.29588483973294
27.5.6,GP_DRW_tau,1,4472098,2828353,63.244432478894694
27.5.6,GP_DRW_tau,2,4472098,2830654,63.29588483973294
27.5.6,g-r_max,12,4472098,1659472,37.10723691654342
27.5.6,g-r_max_corr,12,4472098,1702052,38.05936274205082
27.5.6,g-r_mean,12,4472098,1659472,37.10723691654342
27.5.6,g-r_mean_corr,12,4472098,1702052,38.05936274205082
27.5.6,Gskew,1,4472098,2966118,66.32497767267175
27.5.6,Gskew,2,4472098,2949990,65.96434156854345
27.5.6,g-W1,0,4473306,1434309,32.06373541179611
27.5.6,g-W2,0,4472098,1433982,32.06508444135169
27.5.6,g-W3,0,4472098,1437936,32.15349931955874
27.5.6,g-W4,0,4473306,1436473,32.11211126625364
27.5.6,Harmonics_chi,1,4473306,2279017,50.94704006388117
27.5.6,Harmonics_chi,2,4473306,2353129,52.6038013048962
27.5.6,Harmonics_mag_1,1,4472098,2232287,49.915878408746856
27.5.6,Harmonics_mag_1,2,4472098,2299755,51.424521555654636
27.5.6,Harmonics_mag_2,1,4472098,2232287,49.915878408746856
