version,name,fid,n,n_null,nan_pct
27.5.6,Meanvariance,1,2246,1462,65.09349955476402
27.5.6,PairSlopeTrend,1,2224,1450,65.1978417266187
27.5.6,PercentAmplitude,1,2205,1449,65.71428571428571
27.5.7a32.dev1,StetsonK,1,2497,1701,68.12174609531438
27.5.6,max_brightness_before_band,1,2279,1915,84.02808249232119
27.5.6,last_brightness_before_band,1,2289,1937,84.62210572302315
27.5.7a32.dev1,GP_DRW_sigma,1,2481,1578,63.603385731559854
27.5.6,ulens_t0,2,2209,462,20.914440923494794
27.5.6,SmallKurtosis,2,2259,1501,66.44532979194334
27.5.6,SPM_tau_rise,2,2286,107,4.680664916885389
27.5.7a32.dev1,n_forced_phot_band_before,2,2472,174,7.038834951456311
27.5.6,delta_period,2,2144,1126,52.51865671641791
27.5.6,W3-W4,0,2176,458,21.047794117647058
27.5.6,GP_DRW_sigma,2,2219,1420,63.992789544840015
27.5.7a32.dev1,Harmonics_phase_7,2,2514,1080,42.95942720763723
27.5.7a32.dev1,dbrightness_forced_phot_band,2,2470,2230,90.2834008097166
27.5.6,MHPS_low,1,2220,1614,72.70270270270271
27.5.6,Harmonics_phase_7,1,2192,1083,49.40693430656934
27.5.6,r-W2,0,2201,754,34.257155838255336
27.5.7a32.dev1,Harmonics_mag_1,2,2485,1102,44.34607645875251
27.5.6,TDE_decay_chi,1,2309,1459,63.1875270679948
27.5.7a32.dev1,MHPS_ratio,2,2393,1784,74.55077308817384
27.5.6,r-W3,0,2182,731,33.501374885426216
27.5.6,Harmonics_mse,1,2145,1057,49.277389277389275
27.5.7a32.dev1,Harmonics_mag_2,1,2468,1070,43.354943273905995
27.5.7a32.dev1,Skew,1,2491,1673,67.16178241670012
27.5.7a32.dev1,ulens_fs,1,2473,436,17.630408410837042
27.5.6,Harmonics_chi,1,2146,1081,50.37278657968313
27.5.6,Std,1,2180,1455,66.74311926605505
27.5.6,ExcessVar,2,2228,1460,65.52962298025135
27.5.6,MHPS_high_30,1,2196,1617,73.63387978142076
