classifier_id,class_name,n_det_bin,n,n_full,stratum
5,AGN,16-31,442,7072,8+
5,AGN,2-3,797,12752,2-3
5,AGN,32-63,419,6704,8+
5,AGN,4-7,693,11088,4-7
5,AGN,64+,1016,16256,8+
5,AGN,8-15,573,9168,8+
5,Blazar,16-31,326,5216,8+
5,Blazar,2-3,536,8576,2-3
5,Blazar,32-63,275,4400,8+
5,Blazar,4-7,385,6160,4-7
5,Blazar,64+,716,11456,8+
5,Blazar,8-15,336,5376,8+
5,CEP,16-31,1160,18560,8+
5,CEP,2-3,27156,434496,2-3
5,CEP,32-63,448,7168,8+
5,CEP,4-7,16929,270864,4-7
5,CEP,64+,1138,18208,8+
5,CEP,8-15,4941,79056,8+
5,CV/Nova,16-31,13185,210960,8+
5,CV/Nova,2-3,74725,1195600,2-3
5,CV/Nova,32-63,5983,95728,8+
5,CV/Nova,4-7,56887,910192,4-7
5,CV/Nova,64+,4692,75072,8+
5,CV/Nova,8-15,34043,544688,8+
5,DSCT,16-31,662,10592,8+
5,DSCT,2-3,7269,116304,2-3
5,DSCT,32-63,436,6976,8+
5,DSCT,4-7,5355,85680,4-7
5,DSCT,64+,927,14832,8+
5,DSCT,8-15,1736,27776,8+
5,EA,16-31,3212,51392,8+
5,EA,2-3,29644,474304,2-3
5,EA,32-63,2131,34096,8+
5,EA,4-7,24153,386448,4-7
5,EA,64+,4657,74512,8+
5,EA,8-15,9225,147600,8+
5,EB/EW,16-31,881,14096,8+
5,EB/EW,2-3,2466,39456,2-3
5,EB/EW,32-63,1068,17088,8+
5,EB/EW,4-7,1908,30528,4-7
5,EB/EW,64+,8221,131536,8+
5,EB/EW,8-15,1170,18720,8+
5,LPV,16-31,5840,93440,8+
5,LPV,2-3,3181,50896,2-3
5,LPV,32-63,5819,93104,8+
5,LPV,4-7,4642,74272,4-7
5,LPV,64+,19070,305120,8+
5,LPV,8-15,5543,88688,8+
5,Microlensing,16-31,566,9056,8+
5,Microlensing,2-3,3274,52384,2-3
5,Microlensing,32-63,393,6288,8+
5,Microlensing,4-7,1631,26096,4-7
5,Microlensing,64+,587,9392,8+
5,Microlensing,8-15,873,13968,8+
5,Periodic-Other,16-31,7324,117184,8+
5,Periodic-Other,2-3,249464,3991424,2-3
5,Periodic-Other,32-63,3425,54800,8+
5,Periodic-Other,4-7,152500,2440000,4-7
5,Periodic-Other,64+,5539,88624,8+
5,Periodic-Other,8-15,37868,605888,8+
5,QSO,16-31,2007,32112,8+
5,QSO,2-3,1316,21056,2-3
5,QSO,32-63,2125,34000,8+
5,QSO,4-7,1746,27936,4-7
5,QSO,64+,5811,92976,8+
5,QSO,8-15,2031,32496,8+
5,RRLab,16-31,506,8096,8+
5,RRLab,2-3,3002,48032,2-3
5,RRLab,32-63,346,5536,8+
5,RRLab,4-7,1943,31088,4-7
5,RRLab,64+,3390,54240,8+
5,RRLab,8-15,1135,18160,8+
5,RRLc,16-31,245,3920,8+
5,RRLc,2-3,1605,25680,2-3
