month,n,n_full
2018-06-01,651,10416
2018-07-01,972,15552
2018-08-01,861,13776
2018-09-01,2809,44944
2018-10-01,236,3776
2018-11-01,9017,144272
2018-12-01,3194,51104
2019-01-01,2831,45296
2019-02-01,374,5984
2019-03-01,650,10400
2019-04-01,2393,38288
2019-05-01,813,13008
2019-06-01,1902,30432
2019-07-01,3089,49424
2019-08-01,4987,79792
2019-09-01,3166,50656
2019-10-01,3130,50080
2019-11-01,5315,85040
2019-12-01,5905,94480
2020-01-01,4225,67600
2020-02-01,2937,46992
2020-03-01,1370,21920
2020-04-01,2557,40912
2020-05-01,3100,49600
2020-06-01,4150,66400
2020-07-01,2217,35472
2020-08-01,9937,158992
2020-09-01,6134,98144
2020-10-01,6650,106400
2020-11-01,4768,76288
2020-12-01,10573,169168
2021-01-01,8821,141136
2021-02-01,9006,144096
2021-03-01,4342,69472
2021-04-01,5194,83104
2021-05-01,2849,45584
2021-06-01,12772,204352
2021-07-01,13415,214640
2021-08-01,9441,151056
2021-09-01,4348,69568
2021-10-01,8495,135920
2021-11-01,6978,111648
2021-12-01,2542,40672
2022-01-01,51,816
2022-02-01,4451,71216
2022-03-01,1200,19200
2022-04-01,9308,148928
2022-05-01,5626,90016
2022-06-01,4070,65120
2022-07-01,16314,261024
2022-08-01,13623,217968
2022-09-01,7773,124368
2022-10-01,13677,218832
2022-11-01,11117,177872
2022-12-01,3447,55152
2023-01-01,7750,124000
2023-02-01,6586,105376
2023-03-01,4876,78016
2023-04-01,5736,91776
2023-05-01,13136,210176
2023-06-01,9456,151296
2023-07-01,10781,172496
2023-08-01,20519,328304
2023-09-01,13569,217104
2023-10-01,9724,155584
2023-11-01,9555,152880
2023-12-01,16192,259072
2024-01-01,11816,189056
2024-02-01,8981,143696
2024-03-01,6520,104320
2024-04-01,7787,124592
2024-05-01,8412,134592
2024-06-01,10470,167520
2024-07-01,12207,195312
2024-08-01,18115,289840
2024-09-01,14949,239184
2024-10-01,11909,190544
2024-11-01,21192,339072
2024-12-01,36586,585376
2025-01-01,21379,342064
2025-02-01,22167,354672
2025-03-01,29201,467216
2025-04-01,10099,161584
2025-05-01,30020,480320
2025-06-01,13860,221760
2025-07-01,26188,419008
2025-08-01,37765,604240
2025-09-01,34759,556144
2025-10-01,37473,599568
2025-11-01,36938,591008
2025-12-01,37723,603568
2026-01-01,58918,942688
2026-02-01,46479,743664
2026-03-01,67246,1075936
2026-04-01,17427,278832
2026-05-01,14369,229904
2026-06-01,24034,384544
2026-07-01,29763,476208
2026-08-01,30886,494176
