oid,flat_base,flat_abl,top_base,top_abl
ZTF17aaabmwr,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaadask,RRLc,RRLc,Periodic,Periodic
ZTF17aaadkgg,LPV,YSO,Periodic,Stochastic
ZTF17aaadyos,EA,CV/Nova,Periodic,Stochastic
ZTF17aaadzhc,LPV,LPV,Periodic,Stochastic
ZTF17aaaeavx,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaaeczc,LPV,YSO,Periodic,Stochastic
ZTF17aaaeegv,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaaehis,RRLc,RRLc,Periodic,Periodic
ZTF17aaaehwd,RRLab,RRLab,Periodic,Periodic
ZTF17aaaewou,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaafpce,EA,EA,Periodic,Periodic
ZTF17aaafujb,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF17aaafylj,YSO,YSO,Periodic,Periodic
ZTF17aaafyqt,LPV,YSO,Periodic,Stochastic
ZTF17aaahtfi,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaahxaf,DSCT,DSCT,Periodic,Periodic
ZTF17aaahxsk,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaaiams,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaailsc,LPV,LPV,Periodic,Periodic
ZTF17aaailsf,RRLab,RRLab,Periodic,Periodic
ZTF17aaaivoq,Periodic-Other,Periodic-Other,Periodic,Periodic
ZTF17aaajrue,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF17aaakdyp,RRLab,RRLab,Periodic,Periodic
ZTF17aaanppk,YSO,CV/Nova,Stochastic,Stochastic
ZTF17aaapnuj,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF17aaarofx,EA,EA,Periodic,Periodic
ZTF17aaasfkg,CV/Nova,CV/Nova,Periodic,Transient
ZTF17aaasnvt,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaasqkk,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF17aaatant,RSCVn,YSO,Periodic,Periodic
ZTF17aaauiel,EB/EW,Periodic-Other,Periodic,Periodic
ZTF17aaaverl,CV/Nova,CV/Nova,Periodic,Transient
ZTF17aaawghb,LPV,LPV,Periodic,Stochastic
ZTF17aaawgto,LPV,LPV,Periodic,Stochastic
ZTF17aaawrtr,EA,CV/Nova,Periodic,Stochastic
ZTF17aaawsmw,LPV,YSO,Periodic,Stochastic
ZTF17aaaxajd,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaayznk,RSCVn,CV/Nova,Periodic,Stochastic
ZTF17aaaznqn,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF17aaazoen,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF17aabcizq,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF17aabcupo,CV/Nova,CV/Nova,Periodic,Transient
ZTF17aabdeal,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF17aabgaws,CV/Nova,CV/Nova,Periodic,Transient
ZTF17aabgbup,YSO,YSO,Periodic,Stochastic
ZTF17aabgbyh,LPV,YSO,Periodic,Periodic
