tid,mjd,fid,diffmaglim
"ztf",58245.35501160007,2,18.0365
"ztf",58248.29576390004,2,20.2663
"ztf",58258.25341439992,2,20.4937
"ztf",58261.316666699946,2,19.6567
"ztf",58267.31587960012,2,18.3244
"ztf",58276.29644680023,2,20.7097
"ztf",58279.25415509986,2,20.7783
"ztf",58285.19387729978,2,17.4064
"ztf",58291.25457180012,2,19.8709
"ztf",58327.278182900045,2,18.8426
"ztf",58330.29657409992,2,19.3861
"ztf",58333.165358799975,2,20.5243
"ztf",58336.20785879996,2,20.5645
"ztf",58346.17155090021,2,20.2836
"ztf",58352.22885419987,2,19.4585
"ztf",58468.538611100055,2,20.2583
"ztf",58476.53620370012,2,19.757
"ztf",58481.5559605998,2,19.9648
"ztf",58494.53870370006,1,20.8914
"ztf",58507.538321800064,1,19.5551
"ztf",58522.54671300016,2,20.6671
"ztf",58526.52406249987,2,20.1422
"ztf",58526.54518519994,1,20.222
"ztf",58539.39976850012,1,19.3298
"ztf",58543.460810199846,2,20.599
"ztf",58556.47953699995,1,20.4861
"ztf",58560.399814799894,2,20.0428
"ztf",58568.3917824002,1,20.0808
"ztf",58572.38071760023,1,20.1738
"ztf",58572.45776619995,2,20.5
"ztf",58575.33523150021,1,20.937
"ztf",58575.37619209988,2,18.8503
"ztf",58580.45700229984,1,20.3653
"ztf",58589.33627310023,2,18.1724
"ztf",58589.396574100014,1,16.1351
"ztf",58606.35744210007,2,20.5861
"ztf",58612.336967600044,2,20.7206
"ztf",58619.33515049983,2,18.588
"ztf",58632.27290510014,2,20.57
"ztf",58635.29119209992,2,20.8599
"ztf",58638.270960600115,2,20.7232
"ztf",58638.317245400045,1,20.7637
"ztf",58641.2751042,2,20.7927
"ztf",58644.20942129986,1,20.1855
"ztf",58644.25434029987,2,20.4538
"ztf",58647.21265049977,1,19.5455
"ztf",58650.27365740016,2,19.6961
"ztf",58657.25581019977,2,20.6872
"ztf",58660.23326390004,2,20.887
"ztf",58663.19109949982,2,19.9809
"ztf",58666.25755790016,2,20.7956
"ztf",58672.1938426001,2,20.5104
"ztf",58675.23431710014,2,19.9104
"ztf",58678.194016200025,2,20.0371
"ztf",58678.27012730017,1,19.5596
"ztf",58681.24858799996,2,19.6733
"ztf",58684.1864120001,2,20.5848
"ztf",58698.17707179999,2,19.9731
"ztf",58701.15836809995,2,19.1629
"ztf",58705.163379599806,2,19.952
"ztf",58718.14385419991,2,19.9717
"ztf",58726.138553199824,2,19.9802
"ztf",58734.12697920017,2,19.147
"ztf",58749.114062500186,2,19.4337
"ztf",58837.549641199876,1,18.9068
"ztf",58856.56575229997,2,20.408
"ztf",58861.54450230021,2,19.5473
"ztf",58864.5203009001,2,20.155
"ztf",58872.560046299826,2,19.9925
"ztf",58875.482800900005,1,20.3218
"ztf",58881.544803199824,2,20.6041
"ztf",58884.46539349994,1,19.7941
"ztf",58887.53474539984,2,20.0283
"ztf",58890.48170140013,2,19.1201
"ztf",58893.52342589991,2,20.0826
"ztf",58898.518101899885,2,20.6821
"ztf",58903.497789400164,2,20.6687
"ztf",58903.52458330011,1,20.6697
"ztf",58911.49726849981,2,19.961
"ztf",58914.48148149997,1,19.873
"ztf",58936.44076390006,2,20.5998
"ztf",58939.43349540001,2,17.8555
"ztf",58954.460821799934,2,20.1908
"ztf",58955.42009259993,2,20.3005
"ztf",58956.35113430023,2,20.1138
"ztf",58956.37736110017,1,20.7343
"ztf",58961.40134260012,2,19.78
"ztf",58962.331666700076,2,20.2307
"ztf",58965.350185200106,2,20.6417
"ztf",58966.35270830011,2,19.9607
"ztf",58966.357580999844,2,19.9972
"ztf",58966.41687500011,1,20.686
"ztf",58968.29142360017,1,20.6328
"ztf",58968.37958330009,2,20.8112
"ztf",58969.37535879994,2,16.9001
"ztf",58969.381840299815,1,18.7305
"ztf",58971.37993060006,2,20.3123
"ztf",58972.2888656999,1,19.8911
"ztf",58972.37907409994,2,20.2314
"ztf",58973.33476850018,2,19.9511
"ztf",58974.31652780017,2,19.5517
"ztf",58974.45037040021,1,19.4699
"ztf",58975.27137729991,1,19.1337
"ztf",58976.29512730008,2,19.3997
"ztf",58977.35193290003,1,18.4582
"ztf",58977.401006899774,2,18.7018
"ztf",58978.28547450015,2,19.7878
"ztf",58978.3973495001,1,19.2767
"ztf",58979.26841440005,1,19.9497
"ztf",58980.275023099966,2,20.6798
"ztf",58985.27380790003,2,20.5145
"ztf",58992.28960649995,2,20.6599
"ztf",59009.252430600114,1,20.2814
"ztf",59012.29568290012,1,20.8354
"ztf",59016.20115739992,1,20.8161
"ztf",59016.234525499865,2,20.3824
"ztf",59019.212754600216,2,20.6859
"ztf",59022.20269680023,1,20.765
"ztf",59025.231805600226,1,19.8596
"ztf",59028.200648100115,1,19.6944
"ztf",59031.211087999865,2,19.4479
"ztf",59037.18984950008,2,19.7319
"ztf",59046.19001160003,2,20.6159
"ztf",59049.18439809978,2,20.6329
"ztf",59049.2078009001,1,20.7225
"ztf",59052.24458329985,2,20.6241
"ztf",59188.56105320016,2,19.3739
"ztf",59188.565787000116,2,19.1502
"ztf",59189.55034720013,2,19.8187
"ztf",59189.55502310023,2,19.7136
"ztf",59189.55969909998,2,19.8612
"ztf",59189.564375000075,2,19.5905
"ztf",59189.5690394002,2,19.1451
"ztf",59192.55245369999,2,17.0272
"ztf",59192.557164399885,2,19.2919
"ztf",59192.56186340004,2,19.4583
"ztf",59192.56656249985,2,17.3463
