tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",58322.40043980023,"568400435115015028",2,568400435115,20.7969,1,568,0.770404,16.4906,14.102437,"",16.5628,"",0.107169,100,0.011879657,0.0176,"",317.4311936,43.2056625,0.406667,"t8_f5_c3","",16.4892,0.0179,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58322.40043980023,"568400435115015029",2,568400435115,20.7969,1,568,0.348006,16.4217,14.094581,"",16.3917,"",0.025284,100,0.0029648193,0.0163,"",317.4311808,43.2058385,0.503333,"t8_f5_c3","",16.3812,0.0172,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58323.46865739999,"569468655115015012",2,569468655115,20.4448,1,569,0.63972,16.5288,14.1066065,"",16.347,"",0.121522,100,0.013055026,0.0167,"",317.4310835,43.2057853,0.416667,"t8_f5_c3","",16.3325,0.018,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58324.41979169985,"570419795115015007",1,570419795115,19.9747,1,570,0.402865,18.2615,16.237171,"",18.55,"",0.17051,0.024736408,0.026425207,0.1119,"",317.431171,43.2058579,0.48,"t8_f5_c3","",18.4001,0.1224,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58324.47946760012,"570479465115015009",2,570479465115,19.7588,1,570,0.405386,16.3421,14.084939,"",16.1518,"",0.136922,0.0041093375,0.017124142,0.0196,"",317.4311706,43.2058058,0.37,"t8_f5_c3","",16.1433,0.0223,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58325.27526619984,"571275265115015006",2,571275265115,19.6795,1,571,0.276693,16.2345,14.070884,"",16.0753,"",0.136984,0.008911163,0.01867339,0.0186,"",317.4313908,43.2058092,0.48,"t8_f5_c3","",16.0587,0.0217,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58325.42222219985,"571422225115015009",1,571422225115,19.679,1,571,0.378084,18.4726,16.267317,"",18.5807,"",0.112716,0.011283261,0.0147867305,0.1405,"",317.4311928,43.2058224,0.68,"t8_f5_c3","",18.4009,0.1508,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58327.360092599876,"573360095115015004",2,573360095115,19.7531,1,573,0.537074,16.1954,14.065471,"",16.5353,"",0.074019,100,0.010408096,0.0278,"",317.4312289,43.2057229,0.496667,"t8_f5_c3","",16.3718,0.0291,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58327.360092599876,"573360095115015006",2,573360095115,19.7531,1,573,0.44633,16.0868,14.049527,"",16.0781,"",0.024359,100,0.0037303588,0.0193,"",317.4312004,43.2057651,0.46,"t8_f5_c3","",16.0633,0.0226,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58328.33766200021,"574337665115015004",2,574337665115,19.699,1,574,0.532581,16.2044,14.066731,"",16.5329,"",0.070768,100,0.009880292,0.0282,"",317.4311934,43.2057363,0.48,"t8_f5_c3","",16.3151,0.0282,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58328.33766200021,"574337665115015005",2,574337665115,19.699,1,574,0.48198,16.0811,14.048653,"",16.0311,"",0.02467,100,0.00379481,0.0188,"",317.4311684,43.2057718,0.556667,"t8_f5_c3","",16.0119,0.022,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58329.367592600174,"575367595115015021",2,575367595115,19.931,1,575,0.518054,16.3025,14.079906,"",16.1653,"",0.093531,100,0.0120758675,0.0184,"",317.4311166,43.2058992,0.47,"t8_f5_c3","",16.1334,0.0207,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58329.42144680023,"575421445115015020",1,575421445115,19.8598,1,575,0.43952,18.2966,16.242537,"",18.6404,"",0.161056,0.022417353,0.02428575,0.1473,"",317.4311803,43.205923,0.396667,"t8_f5_c3","",18.5236,0.1674,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58330.36199070001,"576361995115015012",2,576361995115,20.2034,1,576,0.488002,16.253,14.073387,"",16.1723,"",0.024487,100,0.0032892015,0.0166,"",317.4312476,43.2057318,0.473333,"t8_f5_c3","",16.1784,0.0189,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58332.33150460012,"578331505115015004",2,578331505115,20.4853,1,578,0.304129,16.3687,14.08823,"",16.2753,"",0.089787,100,0.010990706,0.0162,"",317.4311922,43.2058745,0.486667,"t8_f5_c3","",16.2434,0.0172,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58332.45405089995,"578454055115015002",1,578454055115,20.0458,1,578,0.809453,18.1986,16.22718,"",18.5035,"",0.185104,0.028676799,0.030119512,0.102,"",317.4310643,43.205979,0.406667,"t8_f5_c3","",18.3602,0.1118,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58333.32435189979,"579324355115015004",2,579324355115,20.5975,1,579,0.491939,16.258,14.074058,"",16.2288,"",0.090274,100,0.012077749,0.0152,"",317.4311379,43.2058036,0.453333,"t8_f5_c3","",16.2057,0.016,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58334.34978009993,"580349785115015015",2,580349785115,20.6364,1,580,0.202674,16.4278,14.095294,"",16.3677,"",0.082809,100,0.009662189,0.0167,"",317.4313217,43.2058099,0.513333,"t8_f5_c3","",16.3363,0.0175,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58336.34872689983,"582348725115015021",2,582348725115,20.7521,1,582,0.41219,16.4793,14.101179,"",16.4396,"",0.026855,100,0.0030045323,0.017,"",317.4312184,43.2057659,0.58,"t8_f5_c3","",16.4142,0.0177,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58336.34872689983,"582348725115015022",2,582348725115,20.7521,1,582,0.484326,16.5078,14.10433,"",16.5917,"",0.06193,100,0.0067688306,0.0181,"",317.4312033,43.2057488,0.536667,"t8_f5_c3","",16.568,0.0195,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58340.31072920002,"586310725115015015",2,586310725115,20.5617,1,586,0.236472,16.4399,14.096699,"",16.4488,"",0.067486,100,0.0077971085,0.0202,"",317.43122,43.2058415,0.406667,"t12_f5_c3","",16.3953,0.0206,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58342.329942100216,"588329945115015024",2,588329945115,20.5872,1,588,0.429776,16.5807,14.112064,"",16.4578,"",0.06132,100,0.0063117226,0.0185,"",317.4311484,43.2058335,0.46,"t12_f5_c3","",16.4457,0.0197,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58343.34168979991,"589341685115015010",2,589341685115,20.7223,1,589,0.56416,16.6708,14.121,"",16.6101,"",0.194744,0.007119002,0.018601358,0.02,"",317.431093,43.2058613,0.383333,"t12_f5_c3","",16.5982,0.0212,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58344.30940969987,"590309405115015021",2,590309405115,20.8344,1,590,0.715196,16.6037,14.114409,"",16.5264,"",0.152316,100,0.015382575,0.0185,"",317.4310892,43.2059828,0.403333,"t12_f5_c3","",16.4629,0.0186,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58345.32729170006,"591327295115015006",2,591327295115,20.6961,1,591,0.233876,16.7422,14.127622,"",16.7354,"",0.103374,100,0.0093020685,0.0213,"",317.4312515,43.2058084,0.45,"t12_f5_c3","",16.6563,0.0216,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58345.32729170006,"591327295115015007",2,591327295115,20.6961,1,591,0.171624,16.63,14.117037,"",16.5863,"",0.031763,100,0.0031386036,0.0199,"",317.4312623,43.2058937,0.533333,"t12_f5_c3","",16.5665,0.021,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58348.34747690009,"594347475115015022",1,594347475115,21.0027,1,594,0.264846,19.0685,16.32921,"",19.3574,"",0.296301,0.021508494,0.023769323,0.117,"",317.4313673,43.2057938,0.423333,"t12_f5_c3","",19.3035,0.1309,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58349.319282399956,"595319285115015005",2,595319285115,20.669,1,595,0.762128,16.7004,14.123794,"",16.5683,"",0.141059,100,0.013144933,0.0191,"",317.4311687,43.205673,0.39,"t12_f5_c3","",16.521,0.0201,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58350.36668979982,"596366685115015004",2,596366685115,20.6165,1,596,0.84948,16.9373,14.14381,"",16.5502,"",0.211201,100,0.016117595,0.019,"",317.4311358,43.2056587,0.243333,"t12_f5_c3","",16.4955,0.0197,"",false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58351.4108564998,"597410855115015008",1,597410855115,20.941118,1,597,1.2947272,19.070126,16.32934,"",19.1358,"",0.19287616,0.011676984,0.015451276,0.0976,"",317.4308354,43.205919,0.46,"t8_f5_c3",0,19.0904,0.1101,730120151,false,true,false,"","bulk_1.0.0",0,598268405115015000
"ztf",58352.268402799964,"598268405115015009",2,598268405115,20.447636,1,598,0.7005925,16.67501,14.121402,"",16.3798,"",0.1623307,100,0.015451023,0.018,"",317.4310541,43.205924,0.32666665,"t8_f5_c3",0,16.3437,0.0192,730120251,false,true,false,"","bulk_1.0.0",0,610298655115015000
"ztf",58353.380659699906,"599380655115015008",2,599380655115,20.394,1,599,0.621176,16.391,14.090936,"",16.4201,"",0.02586,100,0.0031088695,0.0187,"",317.4311102,43.2057645,0.423333,"t12_f5_c3","",16.3979,0.0203,"",false,true,false,"","bulk_1.0.0",0,610298655115015000
"ztf",58353.380659699906,"599380655115015009",2,599380655115,20.394,1,599,0.782891,16.5562,14.109517,"",16.5788,"",0.14211,100,0.014926272,0.0206,"",317.4311089,43.2056967,0.346667,"t12_f5_c3","",16.5619,0.0229,"",false,true,false,"","bulk_1.0.0",0,610298655115015000
"ztf",58354.269548600074,"600269545115015010",2,600269545115,20.3153,1,600,0.744838,16.3077,14.080577,"",16.2151,"",0.117462,100,0.015102483,0.0163,"",317.4311759,43.2056753,0.366667,"t12_f5_c3","",16.209,0.0182,"",false,true,false,"","bulk_1.0.0",0,610298655115015000
"ztf",58356.19538189983,"602195385115015009",2,602195385115,19.7774,1,602,0.458856,16.3699,14.088377,"",16.6334,"",0.09576,100,0.011710491,0.0285,"",317.4312596,43.2057374,0.4,"t12_f5_c3","",16.5094,0.0306,"",false,true,false,"","bulk_1.0.0",0,610298655115015000
