tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",58635.22017360013,"881220173515015026",1,881220173515,20.935324,1,881,2.2845888,18.575085,"","",18.4226,"",0.05933406,"","",0.0488,"",247.763179,41.1539457,0.93285716,"t17_f5_c3",0,18.3853,0.0594,722120135,false,false,false,"","bulk_1.0.0",0,887305413515015000
"ztf",58635.28008100018,"881280083515015017",2,881280083515,20.9634,1,881,3.617243,18.779999,"","",18.7063,"",0.07022769,"","",0.0736,"",247.7631729,41.1539673,0.96428573,"t17_f5_c3",0,18.6075,0.086,722120235,false,false,false,"","bulk_1.0.0",0,903372814615015000
"ztf",58635.28054400021,"881280544615015004",2,881280544615,20.802294,1,881,2.6796963,18.854446,"","",18.9802,"",0.079559736,"","",0.0991,"",247.7631917,41.1539426,0.95428574,"t17_f5_c3",0,19.0177,0.1316,723120246,false,false,false,"","bulk_1.0.0",0,903372814615015000
"ztf",58635.42327550007,"881423274615015006",1,881423274615,20.94053,1,881,3.3156648,18.510487,"","",18.5537,"",0.07368366,"","",0.0544,"",247.7632126,41.1539676,0.97,"t17_f5_c3",0,18.4917,0.0648,723120146,false,false,false,"","bulk_1.0.0",0,903372814615015000
"ztf",58638.27984949993,"884279843515015026",2,884279843515,20.80775,1,884,3.641813,18.436722,"","",18.4496,"",0.06683675,"","",0.0615,"",247.7631617,41.1539735,0.9614286,"t17_f5_c3",0,18.393,0.0745,722120235,false,false,false,"","bulk_1.0.0",0,903372814615015000
"ztf",58638.28269679984,"884282694615015002",2,884282694615,20.591019,1,884,2.591206,18.562714,"","",18.5534,"",0.096632116,"","",0.0702,"",247.7631819,41.1539668,0.85571426,"t17_f5_c3",0,18.6355,0.0966,723120246,false,false,false,"","bulk_1.0.0",0,903372814615015000
"ztf",58638.34049770003,"884340494615015005",1,884340494615,20.908659,1,884,3.3003454,18.461166,"","",18.5707,"",0.07284882,"","",0.0546,"",247.7632143,41.1539669,0.9671429,"t17_f5_c3",0,18.543,0.0672,723120146,false,false,false,"","bulk_1.0.0",0,887305413515015000
"ztf",58638.341898099985,"884341893515015017",1,884341893515,20.84151,1,884,2.2338383,18.412157,"","",18.3381,"",0.06413124,"","",0.0447,"",247.7631673,41.1539622,0.9457143,"t17_f5_c3",0,18.3287,0.0556,722120135,false,false,false,"","bulk_1.0.0",0,887305413515015000
"ztf",58641.22834490007,"887228343515015022",1,887228343515,20.82833,1,887,2.2447212,18.398003,"","",18.2737,"",0.07089777,"","",0.0456,"",247.7631855,41.1539596,0.94714284,"t17_f5_c3",0,18.247,0.0559,722120135,false,false,false,"","bulk_1.0.0",0,887305413515015000
"ztf",58641.24418980023,"887244184615015010",1,887244184615,20.669384,1,887,3.3019245,18.4673,"","",18.7424,"",0.08424437,"","",0.0801,"",247.7631997,41.153972,0.9457143,"t17_f5_c3",0,18.9606,0.1236,723120146,false,false,false,"","bulk_1.0.0",0,887305413515015000
"ztf",58641.305416699965,"887305413515015026",2,887305413515,20.938595,1,887,3.5701373,18.41223,"","",18.4333,"",0.06958715,"","",0.0571,"",247.7631884,41.1539651,0.9614286,"t17_f5_c3",0,18.3809,0.0693,722120235,false,false,false,"","bulk_1.0.0",0,899203513515015000
"ztf",58641.32185189985,"887321854615015009",2,887321854615,20.770979,1,887,2.6109161,18.428513,"","",18.4682,"",0.09711083,"","",0.0616,"",247.7631769,41.1539608,0.8957143,"t17_f5_c3",0,18.4645,0.0783,723120246,false,false,false,"","bulk_1.0.0",0,899203513515015000
"ztf",58644.220949099865,"890220944615015003",1,890220944615,20.435566,1,890,3.2695377,18.467955,"","",18.7091,"",0.075471096,"","",0.088,"",247.7632154,41.153977,0.95714283,"t17_f5_c3",0,18.8757,0.1306,723120146,false,false,false,"","bulk_1.0.0",0,899203513515015000
"ztf",58644.22141199978,"890221413515015011",1,890221413515,20.445118,1,890,2.236308,18.419233,"","",18.3137,"",0.069945484,"","",0.0612,"",247.7631915,41.1539653,0.9557143,"t17_f5_c3",0,18.3074,0.0774,722120135,false,false,false,"","bulk_1.0.0",0,899203513515015000
"ztf",58644.28561339993,"890285613515015021",2,890285613515,20.600132,1,890,3.6316864,18.404053,"","",18.3762,"",0.06972827,"","",0.0674,"",247.7631663,41.1539626,0.95285714,"t17_f5_c3",0,18.2474,0.0765,722120235,false,false,false,"","bulk_1.0.0",0,899203513515015000
"ztf",58644.3072453998,"890307244615015003",2,890307244615,20.532331,1,890,2.584115,18.501713,"","",18.426,"",0.1031675,"","",0.0723,"",247.7631834,41.1539666,0.8428571,"t17_f5_c3",0,18.4545,0.0949,723120246,false,false,false,"","bulk_1.0.0",0,899203513515015000
"ztf",58647.22380790021,"893223803515015016",1,893223803515,20.009497,1,893,2.2705631,18.53741,"","",18.5988,"",0.083590694,"","",0.1124,"",247.7632081,41.1539564,0.95285714,"t17_f5_c3",0,18.673,0.154,722120135,false,false,false,"","bulk_1.0.0",0,899203513515015000
"ztf",58647.26126160007,"893261263515015021",2,893261263515,20.15587,1,893,3.6555984,18.46135,"","",18.3561,"",0.06694853,"","",0.0861,"",247.7631543,41.1539503,0.97571427,"t17_f5_c3",0,18.3755,0.1121,722120235,false,false,false,"","bulk_1.0.0",0,899203513515015000
"ztf",58647.28483799985,"893284834615015001",2,893284834615,20.060122,1,893,2.7413228,18.490915,"","",18.5047,"",0.08776857,"","",0.1016,"",247.7632174,41.1539243,0.92142856,"t17_f5_c3",0,18.5253,0.1329,723120246,false,false,false,"","bulk_1.0.0",0,899203513515015000
"ztf",58647.34777780017,"893347774615015003",1,893347774615,19.997677,1,893,3.2551527,18.595772,"","",18.8644,"",0.0882109,"","",0.1379,"",247.7631943,41.1539907,0.96,"t17_f5_c3",0,19.0678,0.2126,723120146,false,false,false,"","bulk_1.0.0",0,899203513515015000
"ztf",58650.21811340004,"896218113515015006",1,896218113515,19.627296,1,896,2.224055,18.591795,"","",18.4169,"",0.14817227,"","",0.1399,"",247.7632198,41.153972,0.8971428,"t17_f5_c3",0,18.2097,0.1484,722120135,false,false,false,"","bulk_1.0.0",0,899203513515015000
"ztf",58650.218576400075,"896218574615015002",1,896218574615,19.5815,1,896,3.3864,18.5416,"","",18.1173,"",0.106235,"","",0.1065,"",247.7632047,41.1539419,0.582857,"t17_f5_c3","",18.0026,0.1228,"",false,false,false,"","bulk_1.0.0",0,899203513515015000
"ztf",58650.27112270007,"896271123515015007",2,896271123515,19.926413,1,896,3.652223,18.435123,"","",18.6928,"",0.07998723,"","",0.1546,"",247.7631744,41.1540186,0.9,"t17_f5_c3",0,18.5116,0.1681,722120235,false,false,false,"","bulk_1.0.0",0,899203513515015000
"ztf",58650.284537000116,"896284534615015004",2,896284534615,19.689383,1,896,2.6765056,18.489277,"","",18.3054,"",0.11805632,"","",0.1148,"",247.7631783,41.1539422,0.5328571,"t17_f5_c3",0,18.4567,0.1691,723120246,false,false,false,"","bulk_1.0.0",0,899203513515015000
"ztf",58653.20211810013,"899202114615015004",2,899202114615,20.153465,1,899,2.570973,18.500244,"","",18.4143,"",0.087942414,"","",0.097,"",247.7631919,41.1539737,0.9671429,"t17_f5_c3",0.9999996,18.4714,0.1308,723120246,false,false,false,"","bulk_1.0.0",0,899203513515015000
"ztf",58653.203518500086,"899203513515015014",2,899203513515,20.181143,1,899,3.6068172,18.378279,"","",18.5392,"",0.06928425,"","",0.1046,"",247.7631688,41.1539439,0.9514286,"t17_f5_c3",0.99999565,18.6027,0.1419,722120235,false,false,false,"","bulk_1.0.0",0,906201554615015000
"ztf",58653.30293980008,"899302933515015010",1,899302933515,19.736761,1,899,2.1205812,18.59841,"","",18.9141,"",0.11342997,"","",0.1786,"",247.7632296,41.1540056,0.9028571,"t17_f5_c3",0.9999938,19.021,0.2527,722120135,false,false,false,"","bulk_1.0.0",0,906201554615015000
"ztf",58653.30434030015,"899304344615015007",1,899304344615,19.888565,1,899,3.3163645,18.694984,"","",18.7429,"",0.12021742,"","",0.1443,"",247.763164,41.1539818,0.9514286,"t17_f5_c3",0.9999999,18.7031,0.1782,723120146,false,false,false,"","bulk_1.0.0",0,906201554615015000
