tid,mjd,fid,diffmaglim
"ztf",58605.385509300046,2,20.5803
"ztf",58605.40835649986,2,20.4505
"ztf",58608.29899309995,1,20.5163
"ztf",58608.3208217998,1,20.5326
"ztf",58608.36427079979,2,20.0741
"ztf",58608.369340300094,2,20.3785
"ztf",58612.35416670004,2,20.9654
"ztf",58612.42766200006,2,20.7641
"ztf",58616.37002310017,2,20.5214
"ztf",58616.38761569979,2,20.4393
"ztf",58616.44964119978,1,20.9481
"ztf",58616.450104199816,1,20.9403
"ztf",58619.26708329981,1,19.2493
"ztf",58619.34600690007,2,19.4395
"ztf",58627.3688194002,2,20.3891
"ztf",58632.29781250004,2,20.7351
"ztf",58632.324513900094,2,20.5285
"ztf",58632.350544000044,1,20.7808
"ztf",58632.3538079001,1,20.6844
"ztf",58666.24526620004,1,20.8227
"ztf",58691.20645829989,2,20.6814
"ztf",58694.20637729997,2,20.5522
"ztf",58697.17553240014,2,20.7391
"ztf",58721.16008100007,1,18.6252
"ztf",58721.1605440001,1,18.5562
"ztf",58727.15481479978,1,20.6106
"ztf",58731.16645829985,2,17.5757
"ztf",58731.17418979993,1,17.8372
"ztf",58731.1876968001,1,17.223
"ztf",58747.140474500135,1,20.4758
"ztf",58750.143391199876,1,20.1882
"ztf",58758.132118099835,1,20.3566
"ztf",58758.14271989977,1,20.2118
"ztf",58761.115891200025,2,20.0559
