aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,diffmaglim,distnr,drb,drbversion,magap,magapbig,nid,rb,rbversion,rfid,sigmagap,sigmagapbig,step_id_corr
"","2587253061915015008",true,-4.2013583,false,"",0.065020956,0.010623092,0.034294073,"",1,true,1,18.19175,17.497164,60341.253067099955,"ZTF24aaecooj","",2587253061915,146.0198514,"ztf","ztf",20.084595,0.12524243,0.9999944,"d6_m7",18.1919,18.1622,2587,0.9685714,"t17_f5_c3",416120119,0.0621,0.075,"23.12.x"
"","2587297801915015010",true,-4.2013618,false,"",0.10478129,100,0.029828088,"",2,true,1,18.481413,17.117268,60341.29780089995,"ZTF24aaecooj","",2587297801915,146.0198583,"ztf","ztf",19.924772,0.18584508,0.99999964,"d6_m7",18.7517,18.711,2587,0.9514286,"t17_f5_c3",416120219,0.1222,0.1464,"23.12.x"
"","2598256481915015017",true,-4.2013776,false,"",0.050401177,0.020120136,0.032116137,"",1,true,1,17.699432,17.210138,60352.25648149988,"ZTF24aaecooj","",2598256481915,146.0198535,"ztf","ztf",20.309258,0.08664306,0.99998236,"d6_m7",17.7297,17.7322,2598,0.96,"t17_f5_c3",416120119,0.0378,0.0465,"23.12.x"
"","2598336041915015010",true,-4.2013743,false,"",0.067714885,100,0.026495265,"",2,true,1,17.96084,16.94205,60352.336041700095,"ZTF24aaecooj","",2598336041915,146.0198842,"ztf","ztf",20.31392,0.2443203,0.9999906,"d6_m7",17.9638,17.9474,2598,0.94285715,"t17_f5_c3",416120219,0.0507,0.0607,"23.12.x"
"","2600329531915015010",true,-4.2013591,false,"",0.05365607,0.024871085,0.034765992,"",1,true,1,17.648699,17.177538,60354.32953700004,"ZTF24aaecooj","",2600329531915,146.0198706,"ztf","ztf",20.39646,0.08784373,0.99999964,"d6_m7",17.6055,17.5861,2600,0.95714283,"t17_f5_c3",416120119,0.0326,0.039,"23.12.x"
"","2600337541915015011",true,-4.2013659,false,"",0.04206932,100,0.017343502,"",2,true,1,17.866035,16.903963,60354.33754630014,"ZTF24aaecooj","",2600337541915,146.0198788,"ztf","ztf",20.465319,0.2390047,0.999997,"d6_m7",17.8945,17.8699,2600,0.95,"t17_f5_c3",416120219,0.0447,0.0527,"23.12.x"
"","2603332401915015011",true,-4.2013591,false,"",0.058036808,100,0.024788976,"",2,true,1,17.799763,16.87615,60357.33240740001,"ZTF24aaecooj","",2603332401915,146.0198785,"ztf","ztf",20.389359,0.2507876,0.9998882,"d6_m7",17.8344,17.8234,2603,0.93714285,"t17_f5_c3",416120219,0.0448,0.0538,"23.12.x"
"","2603378701915015022",true,-4.2013527,false,"",0.04504588,0.017283661,0.02946607,"",1,true,1,17.6191,17.158268,60357.37870369991,"ZTF24aaecooj","",2603378701915,146.01987,"ztf","ztf",20.517334,0.10597661,0.9999989,"d6_m7",17.5878,17.5847,2603,0.95,"t17_f5_c3",416120119,0.0301,0.0363,"23.12.x"
"","2615261651915015009",true,-4.2013473,false,"",0.06064132,0.032156155,0.039892364,"",1,true,1,17.601267,17.14657,60369.261655100156,"ZTF24aaecooj","",2615261651915,146.0198732,"ztf","ztf",20.264137,0.13299324,0.99998343,"d6_m7",17.6268,17.6273,2615,0.93857145,"t17_f5_c3",416120119,0.0391,0.0484,"23.12.x"
"","2615296781915015013",true,-4.2013597,false,"",0.04608419,100,0.020273387,"",2,true,1,17.743189,16.851625,60369.29678239999,"ZTF24aaecooj","",2615296781915,146.0198702,"ztf","ztf",20.237171,0.22985482,1,"d6_m7",17.7771,17.7934,2615,0.95285714,"t17_f5_c3",416120219,0.0494,0.0617,"23.12.x"
"","2624232511915015018",true,-4.2013556,false,"",0.05231432,100,0.022006275,"",2,true,1,17.82853,16.888344,60378.232511600014,"ZTF24aaecooj","",2624232511915,146.0198854,"ztf","ztf",20.248995,0.2662316,0.9999998,"d6_m7",17.7693,17.7616,2624,0.96428573,"t17_f5_c3",416120219,0.0481,0.0586,"23.12.x"
