aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,adpctdif1,adpctdif2,chinr,clrcoeff,clrcounc,decnr,diffmaglim,distnr,exptime,field,magnr,magzpsci,magzpscirms,magzpsciunc,procstatus,programid,ranr,rcid,rfid,scibckgnd,sciinpseeing,scisigpix,sharpnr,sigmagnr
"","ZTF24aaecooj2650236092915",true,-4.2013174,false,"",100,100,100,"",1,false,-1,100,100,60404.23609950021,"ZTF24aaecooj",2665206271915015000,2650236092915,146.0198639,"","ztf",0.08306699991226196,0.07606100291013718,-99999,-0.09061750024557114,0.000021036799807916395,-99999,20.469200134277344,-99999,30,417,-99999,26.31049919128418,0.03158320114016533,0.000012806899576389696,"61",1,-99999,29,417120129,162.31199645996094,2.1786000728607178,5.996099948883057,-99999,-99999
"","ZTF24aaecooj2654234933015",true,-4.2013598,false,"",100,100,100,"",2,false,-1,100,100,60408.23493060004,"ZTF24aaecooj",2679192651915015000,2654234933015,146.0198563,"","ztf",0.08544600009918213,0.08607300370931625,-99999,0.10688500106334686,0.000010706499779189471,-99999,20.370500564575195,-99999,30,417,-99999,26.1697998046875,0.022119799628853798,0.0000066848001551989,"61",1,-99999,30,417120230,340.4670104980469,1.5708999633789062,7.303959846496582,-99999,-99999
"","ZTF24aaecooj2666209152915",true,-4.2013598,false,"",100,100,100,"",1,false,-1,100,100,60420.20915509993,"ZTF24aaecooj",2679192651915015000,2666209152915,146.0198563,"","ztf",0.08624300360679626,0.08146300166845322,-99999,-0.03407130017876625,0.00004936600089422427,-99999,19.307300567626953,-99999,30,417,-99999,26.265300750732422,0.037049800157547,0.000023673799660173245,"61",1,-99999,29,417120129,157.1269989013672,2.3480000495910645,15.84570026397705,-99999,-99999
"","ZTF24aaecooj2654234932915",true,-4.201275,false,"",100,100,100,"",2,false,-1,100,100,60408.23493060004,"ZTF24aaecooj",2667261451915015000,2654234932915,146.0198476,"","ztf",0.08142399787902832,0.0781409963965416,-99999,0.1136000007390976,0.00001156920006906148,-99999,20.299100875854492,-99999,30,417,-99999,26.192899703979492,0.023406000807881355,0.000007060799816827057,"61",1,-99999,29,417120229,367.1369934082031,1.7137999534606934,7.694930076599121,-99999,-99999
"","ZTF24aaecooj2676246663015",true,-4.2013702,false,"",100,100,100,"",2,false,-1,100,100,60430.24666670011,"ZTF24aaecooj",2676247121915025000,2676246663015,146.0198718,"","ztf",0.08438599854707718,0.08095300197601318,-99999,0.1222279965877533,0.00001724419962556567,-99999,19.997100830078125,-99999,30,417,-99999,26.171600341796875,0.02793099917471409,0.000010719400052039418,"61",1,-99999,30,417120230,343.5950012207031,2.1034998893737793,8.455880165100098,-99999,-99999
"","ZTF24aaecooj2670278722915",true,-4.2013598,false,"",100,100,100,"",1,false,-1,100,100,60424.2787269,"ZTF24aaecooj",2679192651915015000,2670278722915,146.0198563,"","ztf",0.08962099999189377,0.09160999953746796,-99999,-0.041045401245355606,0.00011139900016132742,-99999,18.66200065612793,-99999,30,417,-99999,26.123899459838867,0.03844759985804558,0.00004617240119841881,"61",1,-99999,29,417120129,137.10400390625,2.5773000717163086,23.41069984436035,-99999,-99999
"","ZTF24aaecooj2668275282915",true,-4.2013598,false,"",100,100,100,"",2,false,-1,100,100,60422.275289400015,"ZTF24aaecooj",2679192651915015000,2668275282915,146.0198563,"","ztf",0.08587600290775299,0.08477400243282318,-99999,0.12000499665737152,0.000020830699213547632,-99999,19.32360076904297,-99999,30,417,-99999,26.212400436401367,0.031556401401758194,0.000012705500012089033,"61",1,-99999,29,417120229,360.02398681640625,2.0344998836517334,17.444599151611328,-99999,-99999
"","ZTF24aaecooj2667261451915",true,-4.2013598,false,"",0.13319046795368195,0.01438065741718619,0.046939749458892524,"",1,false,1,18.971555709838867,17.839224765939584,60421.261458300054,"ZTF24aaecooj",2679192651915015000,2667261451915,146.0198563,"","ztf",0.09098900109529495,0.08400499820709229,6.507999897003174,-0.04034100100398064,0.00006792360363760963,-4.201382160186768,18.888999938964844,0.11062710732221603,30,416,18.31100082397461,26.091400146484375,0.03407080098986626,0.00003058709990000352,"0",1,146.01988220214844,19,416120119,126.04499816894531,2.386699914932251,19.723899841308594,0.23600000143051147,0.0689999982714653
"","ZTF24aaecooj2679171223015",true,-4.2013227,false,"",100,100,100,"",2,false,-1,100,100,60433.17122690007,"ZTF24aaecooj",2679187801915015000,2679171223015,146.0199054,"","ztf",0.08990900218486786,0.08155400305986404,-99999,0.10972300171852112,0.000011526800335559528,-99999,20.39539909362793,-99999,30,417,-99999,26.13960075378418,0.022963199764490128,0.000007215100140456343,"61",1,-99999,30,417120230,338.4259948730469,1.621399998664856,6.742099761962891,-99999,-99999
"","ZTF24aaecooj2676247121915",true,-4.2013598,false,"",0.047676943242549896,100,0.010144231984880247,"",2,false,1,18.901477813720703,17.221254736450483,60430.24712960003,"ZTF24aaecooj",2679192651915015000,2676247121915,146.0198563,"","ztf",0.0783350020647049,0.07857900112867355,6.4770002365112305,0.09728109836578369,0.000012333200174907688,-4.201398849487305,20.1028995513916,0.19233869016170502,30,416,17.481000900268555,26.184999465942383,0.02168780006468296,0.000007696299689996522,"0",1,146.0198211669922,19,416120219,295.0889892578125,1.8630000352859497,8.703510284423828,0.29600000381469727,0.07100000232458115
"","ZTF24aaecooj2659236751915",true,-4.2013598,false,"",0.04501570016145706,100,0.01701755008138141,"",1,false,1,18.851581573486328,17.795414143357103,60413.23675929988,"ZTF24aaecooj",2679192651915015000,2659236751915,146.0198563,"","ztf",0.09013500064611435,0.08203300088644028,6.507999897003174,-0.07445459812879562,0.00003087309960392304,-4.201382160186768,20.18720054626465,0.11062710732221603,30,416,18.31100082397461,26.218599319458008,0.033222999423742294,0.0000183177999133477,"0",1,146.01988220214844,19,416120119,139.5260009765625,2.784600019454956,5.832449913024902,0.23600000143051147,0.0689999982714653
"","ZTF24aaecooj2641261382915",true,-4.201275,false,"",100,100,100,"",2,false,-1,100,100,60395.261388900224,"ZTF24aaecooj",2667261451915015000,2641261382915,146.0198476,"","ztf",0.09529799968004227,0.0905660018324852,-99999,0.09968449920415878,0.00003566939994925633,-99999,19.03260040283203,-99999,30,417,-99999,26.24799919128418,0.03865870088338852,0.00002120990029652603,"61",1,-99999,29,417120229,370.5979919433594,3.0111000537872314,16.8302001953125,-99999,-99999
"","ZTF24aaecooj2644366333015",true,-4.2013287,false,"",100,100,100,"",2,false,-1,100,100,60398.36633099988,"ZTF24aaecooj",2659236751915015000,2644366333015,146.0198751,"","ztf",0.09496200084686279,0.08872099965810776,-99999,0.1105860024690628,0.00003223599924240261,-99999,19.250699996948242,-99999,30,417,-99999,26.137300491333008,0.038507699966430664,0.000020069299353053793,"61",1,-99999,30,417120230,330.66400146484375,3.0954999923706055,12.152400016784668,-99999,-99999
"","ZTF24aaecooj2650236093015",true,-4.2013598,false,"",100,100,100,"",1,false,-1,100,100,60404.23609950021,"ZTF24aaecooj",2679192651915015000,2650236093015,146.0198563,"","ztf",0.08686500042676926,0.07669399678707123,-99999,-0.10399399697780609,0.0000178163008968113,-99999,20.420799255371094,-99999,30,417,-99999,26.297300338745117,0.028602300211787224,0.000011132799954793882,"61",1,-99999,30,417120130,155.802001953125,2.299299955368042,5.9032301902771,-99999,-99999
"","ZTF24aaecooj2573486343015",true,-4.2013583,false,"",100,100,100,"",1,false,-1,100,100,60327.48634260008,"ZTF24aaecooj",2587253061915015000,2573486343015,146.0198514,"","ztf",0.08368799835443497,0.07981699705123901,-99999,-0.0695922002196312,0.000018517099306336604,-99999,20.40329933166504,-99999,30,417,-99999,26.158100128173828,0.028985699638724327,0.000011398899914638605,"61",1,-99999,30,417120130,140.33200073242188,2.0213000774383545,6.036059856414795,-99999,-99999
"","ZTF24aaecooj2573379783015",true,-4.2013583,false,"",100,100,100,"",2,false,-1,100,100,60327.37978010019,"ZTF24aaecooj",2587253061915015000,2573379783015,146.0198514,"","ztf",0.07883799821138382,0.07517799735069275,-99999,0.10869099944829941,0.00001109549975808477,-99999,20.434499740600586,-99999,30,417,-99999,26.25349998474121,0.022537900134921074,0.0000068732001636817586,"61",1,-99999,30,417120230,367.19500732421875,2.1654999256134033,6.0198798179626465,-99999,-99999
"","ZTF24aaecooj2572399391915",true,-4.2013583,false,"",0.2753174901008606,100,0.010190957769059289,"",2,false,1,21.01909637451172,17.440049374981367,60326.3993981001,"ZTF24aaecooj",2587253061915015000,2572399391915,146.0198514,"","ztf",0.07205799967050552,0.07479900121688843,6.4770002365112305,0.09844230115413666,0.0000102517997220275,-4.201398849487305,20.303800582885742,0.18509091436862946,30,416,17.481000900268555,26.096799850463867,0.01989619992673397,0.000006376199962687679,"0",1,146.0198211669922,19,416120219,275.0190124511719,1.9474999904632568,6.480519771575928,0.29600000381469727,0.07100000232458115
"","ZTF24aaecooj2571440282915",true,-4.2013583,false,"",100,100,100,"",2,false,-1,100,100,60325.44028940005,"ZTF24aaecooj",2587253061915015000,2571440282915,146.0198514,"","ztf",0.0825520008802414,0.07995600253343582,-99999,0.11141899973154068,0.000012458899618650321,-99999,20.01460075378418,-99999,30,417,-99999,26.26799964904785,0.024476399645209312,0.000007594000180688454,"61",1,-99999,29,417120229,381.6319885253906,2.8327999114990234,7.257740020751953,-99999,-99999
"","ZTF24aaecooj2570376661915",true,-4.2013583,false,"",3.41217303276062,100,0.01785956258313577,"",1,false,-1,24.019569396972656,18.31666882601645,60324.3766667,"ZTF24aaecooj",2587253061915015000,2570376661915,146.0198514,"","ztf",0.07412300258874893,0.07975299656391144,6.507999897003174,-0.06688269972801208,0.00002436320028209593,-4.201382160186768,20.57029914855957,0.12697306275367737,30,416,18.31100082397461,26.26889991760254,0.03031730093061924,0.000014985899724706542,"0",1,146.01988220214844,19,416120119,148.20700073242188,2.2228000164031982,5.397640228271484,0.23600000143051147,0.0689999982714653
"","ZTF24aaecooj2568467511915",true,-4.2013583,false,"",15.32532787322998,100,0.025155259108919973,"",1,false,1,25.271169662475586,18.309217213502148,60322.46751159988,"ZTF24aaecooj",2587253061915015000,2568467511915,146.0198514,"","ztf",0.0843299999833107,0.08618699759244919,6.507999897003174,-0.06798049807548523,0.000030692499422002584,-4.201382160186768,20.156200408935547,0.12697306275367737,30,416,18.31100082397461,26.280000686645508,0.032708801329135895,0.00001818040072976146,"0",1,146.01988220214844,19,416120119,147.6060028076172,3.072000026702881,5.86821985244751,0.23600000143051147,0.0689999982714653
"","ZTF24aaecooj2568420921915",true,-4.2013583,false,"",1.0550976991653442,100,0.011237286938855244,"",2,false,1,22.40095329284668,17.469375279179012,60322.420925899874,"ZTF24aaecooj",2587253061915015000,2568420921915,146.0198514,"","ztf",0.07670299708843231,0.07836999744176865,6.4770002365112305,0.09898509830236435,0.000011314799849060364,-4.201398849487305,20.168899536132812,0.18509091436862946,30,416,17.481000900268555,26.26849937438965,0.020887700840830803,0.00000706430000718683,"0",1,146.0198211669922,19,416120219,322.79901123046875,2.5764000415802,6.572490215301514,0.29600000381469727,0.07100000232458115
"","ZTF24aaecooj2560461533015",true,-4.2013583,false,"",100,100,100,"",2,false,-1,100,100,60314.46153939981,"ZTF24aaecooj",2587253061915015000,2560461533015,146.0198514,"","ztf",0.082737997174263,0.07836200296878815,-99999,0.10806199908256531,0.000010261200259265024,-99999,20.333099365234375,-99999,30,417,-99999,26.250699996948242,0.021703200414776802,0.000006407799901353428,"61",1,-99999,30,417120230,366.9159851074219,2.0485999584198,6.902219772338867,-99999,-99999
"","ZTF24aaecooj2560411181915",true,-4.2013583,false,"",16.413976669311523,100,0.022276500297081864,"",1,false,1,25.477943420410156,18.309526298286602,60314.41118060006,"ZTF24aaecooj",2587253061915015000,2560411181915,146.0198514,"","ztf",0.07571499794721603,0.08179999887943268,6.507999897003174,-0.0903823971748352,0.000023866499759606086,-4.201382160186768,20.285400390625,0.12697306275367737,30,416,18.31100082397461,26.291500091552734,0.02999589964747429,0.00001449209958082065,"0",1,146.01988220214844,19,416120119,146.37100219726562,2.3951001167297363,6.396450042724609,0.23600000143051147,0.0689999982714653
"","ZTF24aaecooj2587270153015",true,-4.2013618,false,"",100,100,100,"",1,false,-1,100,100,60341.270150499884,"ZTF24aaecooj",2587297801915015000,2587270153015,146.0198583,"","ztf",0.08955100178718567,0.09301699697971344,-99999,-0.06830020248889923,0.000023946300643729046,-99999,20.21139907836914,-99999,30,417,-99999,26.221200942993164,0.032176099717617035,0.000014377799743670039,"61",1,-99999,30,417120130,149.0050048828125,2.6029000282287598,6.142650127410889,-99999,-99999
"","ZTF24aaecooj2573379782915",true,-4.2013743,false,"",100,100,100,"",2,false,-1,100,100,60327.37978010019,"ZTF24aaecooj",2598336041915015000,2573379782915,146.0198842,"","ztf",0.08549799770116806,0.0763700008392334,-99999,0.11150400340557098,0.000011513599929457996,-99999,20.38990020751953,-99999,30,417,-99999,26.286100387573242,0.02361620031297207,0.0000070238002081168815,"61",1,-99999,29,417120229,392.0880126953125,2.3145999908447266,6.1805100440979,-99999,-99999
"","ZTF24aaecooj2599361633015",true,-4.2013591,false,"",100,100,100,"",1,false,-1,100,100,60353.36163190007,"ZTF24aaecooj",2600329531915015000,2599361633015,146.0198706,"","ztf",0.09075000137090683,0.08431000262498856,-99999,-0.09801139682531357,0.000019577399143599905,-99999,20.4468994140625,-99999,30,417,-99999,26.319900512695312,0.029835399240255356,0.000012200500350445509,"61",1,-99999,30,417120130,159.4199981689453,2.188999891281128,6.060470104217529,-99999,-99999
"","ZTF24aaecooj2599312582915",true,-4.2013591,false,"",100,100,100,"",2,false,-1,100,100,60353.31258099992,"ZTF24aaecooj",2600329531915015000,2599312582915,146.0198706,"","ztf",0.08076699823141098,0.07363899797201157,-99999,0.10139100253582001,0.00001017520025925478,-99999,20.387500762939453,-99999,30,417,-99999,26.298900604248047,0.02224140055477619,0.000006237899924599333,"61",1,-99999,29,417120229,398.52899169921875,2.0404000282287598,6.717470169067383,-99999,-99999
"","ZTF24aaecooj2587270152915",true,-4.2013659,false,"",100,100,100,"",1,false,-1,100,100,60341.270150499884,"ZTF24aaecooj",2600337541915015000,2587270152915,146.0198788,"","ztf",0.08861099928617477,0.0884540006518364,-99999,-0.062269099056720734,0.000024118100554915145,-99999,20.178800582885742,-99999,30,417,-99999,26.246400833129883,0.03252819925546646,0.000013926400242780801,"61",1,-99999,29,417120129,155.0679931640625,2.6231000423431396,6.37283992767334,-99999,-99999
