,SNID,MJD,BAND,CCDNUM,FIELD,PHOTFLAG,PHOTPROB,FLUXCAL,FLUXCALERR,PSF_SIG1,PSF_SIG2,PSF_RATIO,SKY_SIG,SKY_SIG_T,RDNOISE,ZEROPT,ZEROPT_ERR,GAIN,XPIX,YPIX,SIM_FLUXCAL_HOSTERR,SIM_MAGOBS,SNTYPE
161,53125011,60275.2819,Y,-9,VOID,0,-9.0,22.19773,26.134956,1.39,0.0,0.0,56.55,0.0,0.25,30.13,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
162,53125011,60275.2823,Y,-9,VOID,0,-9.0,-2.5224073,24.903032,1.37,0.0,0.0,55.1,0.0,0.25,30.14,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
163,53125011,60275.3061,z,-9,VOID,0,-9.0,-19.79911,24.865402,2.13,0.0,0.0,80.39,0.0,0.25,31.03,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
164,53125011,60275.3065,z,-9,VOID,0,-9.0,-14.72554,24.048138,2.1,0.0,0.0,78.67,0.0,0.25,31.03,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
165,53125011,60279.2433,z,-9,VOID,0,-9.0,-15.586098,15.116146,1.75,0.0,0.0,56.17,0.0,0.25,31.03,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
166,53125011,60279.2674,i,-9,VOID,0,-9.0,2.1259863,12.463572,1.95,0.0,0.0,58.18,0.0,0.25,31.39,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
167,53125011,60282.1992,g,-9,VOID,0,-9.0,9.321154,3.4814568,1.68,0.0,0.0,17.43,0.0,0.25,31.57,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
168,53125011,60282.2232,r,-9,VOID,0,-9.0,2.625308,5.083464,1.53,0.0,0.0,31.82,0.0,0.25,31.59,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
169,53125011,60282.2455,r,-9,VOID,0,-9.0,-11.954411,5.296271,1.52,0.0,0.0,35.21,0.0,0.25,31.61,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
170,53125011,60286.2334,g,-9,VOID,0,-9.0,-2.4782834,3.7968795,1.91,0.0,0.0,15.39,0.0,0.25,31.52,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
171,53125011,60286.2575,r,-9,VOID,0,-9.0,-6.6217446,5.305596,1.72,0.0,0.0,24.83,0.0,0.25,31.53,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
172,53125011,60287.2477,r,-9,VOID,0,-9.0,-5.0218673,9.684361,3.22,0.0,0.0,24.73,0.0,0.25,31.52,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
173,53125011,60287.29,u,-9,VOID,0,-9.0,-3.4628007,7.188452,2.15,0.0,0.0,4.81,0.0,0.25,29.49,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
174,53125011,60287.3112,g,-9,VOID,0,-9.0,3.7732763,6.250557,2.95,0.0,0.0,15.78,0.0,0.25,31.44,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
175,53125011,60291.2346,r,-9,VOID,0,-9.0,-6.9687276,4.4531817,1.49,0.0,0.0,25.01,0.0,0.25,31.54,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
176,53125011,60291.2584,u,-9,VOID,0,-9.0,-1.2439541,6.4324055,2.0,0.0,0.0,4.91,0.0,0.25,29.56,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
177,53125011,60292.2352,g,-9,VOID,0,-9.0,7.6352205,4.72257,2.36,0.0,0.0,15.34,0.0,0.25,31.51,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
178,53125011,60292.2592,r,-9,VOID,0,-9.0,-2.1535666,5.034303,1.63,0.0,0.0,25.05,0.0,0.25,31.52,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
179,53125011,60294.2433,r,-9,VOID,0,-9.0,0.7780919,6.2331605,2.02,0.0,0.0,25.08,0.0,0.25,31.52,0.005,1.0,-9.0,-9.0,0.0,98.62264,132
