tid,mjd,fid,diffmaglim
"ztf",58245.35501160007,2,18.8939
"ztf",58249.275381899904,2,20.1133
"ztf",58261.315266199876,2,20.2666
"ztf",58267.31587960012,2,19.3716
"ztf",58270.29947920004,2,19.808
"ztf",58270.31653939979,2,19.9768
"ztf",58279.25415509986,2,20.6919
"ztf",58285.19387729978,2,17.1872
"ztf",58291.253622699995,2,20.0395
"ztf",58291.25457180012,2,19.979
"ztf",58294.27111109998,2,19.833
"ztf",58298.26978009986,2,19.8262
"ztf",58303.17277779989,2,20.0425
"ztf",58304.1753934999,2,20.3092
"ztf",58311.18873840012,2,20.5441
"ztf",58315.23770829989,2,19.6961
"ztf",58326.27434029989,2,19.2122
"ztf",58333.16442129994,2,20.2184
"ztf",58346.17108799983,2,20.1447
"ztf",58352.14947920013,1,19.5997
"ztf",58352.22885419987,2,19.1448
"ztf",58353.23214119999,2,19.8233
"ztf",58359.135243100114,1,19.449
"ztf",58360.24822920002,2,19.3916
"ztf",58373.126250000205,2,20.0552
"ztf",58468.538611100055,2,19.9937
"ztf",58468.54569440009,1,20.15
"ztf",58480.52782410011,1,19.2361
"ztf",58481.5559605998,2,19.9281
"ztf",58502.471180600114,1,18.6734
"ztf",58502.482199099846,1,19.0151
"ztf",58526.52406249987,2,19.9895
"ztf",58526.524513899814,2,20.0276
"ztf",58526.54518519994,1,20.0239
"ztf",58526.54658559989,1,20.0918
"ztf",58543.442743100226,2,16.7122
"ztf",58543.460810199846,2,20.3629
"ztf",58568.338634300046,2,17.8753
"ztf",58580.479050899856,2,20.316
"ztf",58583.33460649988,2,20.1181
"ztf",58583.35140050016,2,19.994
"ztf",58586.35658559995,2,20.2139
"ztf",58589.313750000205,2,16.4401
"ztf",58589.33627310023,2,17.8783
"ztf",58589.376898100134,1,15.9983
"ztf",58589.396574100014,1,15.825
"ztf",58592.35884260014,2,17.8655
"ztf",58592.43978009978,1,19.1116
"ztf",58592.45403939998,1,19.0387
"ztf",58596.33152779983,2,19.7975
"ztf",58605.3775231,2,20.4578
"ztf",58612.336967600044,2,20.7492
"ztf",58616.36078700004,2,20.3104
"ztf",58632.34077550005,1,20.53
"ztf",58632.34212959977,1,20.7097
"ztf",58638.29194439994,2,20.6881
"ztf",58644.20942129986,1,20.3063
"ztf",58644.21032410022,1,20.3074
"ztf",58644.25434029987,2,20.4826
"ztf",58650.19219909981,1,19.2941
"ztf",58660.23326390004,2,20.7635
"ztf",58666.25710650021,2,20.6597
"ztf",58672.18349540001,1,20.5118
"ztf",58672.1938426001,2,20.6121
"ztf",58672.21297449991,2,20.4921
"ztf",58675.24340280006,2,19.919
"ztf",58678.19262730004,2,20.0155
"ztf",58678.194016200025,2,19.9655
"ztf",58684.1864120001,2,20.6681
"ztf",58693.23468750017,1,20.4066
"ztf",58693.23513890011,1,20.4057
"ztf",58698.17707179999,2,20.1894
"ztf",58701.15836809995,2,18.9761
"ztf",58705.163379599806,2,19.9706
"ztf",58705.166550899856,2,19.9443
"ztf",58708.15219909977,1,19.4655
"ztf",58712.14942129981,1,20.1017
"ztf",58718.14292819984,2,19.8965
"ztf",58721.15225689998,1,17.9198
"ztf",58726.138553199824,2,20.0774
"ztf",58726.16335650021,1,20.4647
"ztf",58733.21241899999,2,19.2678
"ztf",58837.549641199876,1,18.9796
"ztf",58850.55835650023,1,20.114
"ztf",58852.56420140015,2,20.1811
"ztf",58856.54770829994,1,20.2762
"ztf",58856.56575229997,2,20.3012
"ztf",58864.5203009001,2,20.144
"ztf",58873.538668999914,2,20.5156
"ztf",58876.56143519981,2,20.5224
"ztf",58884.55805560015,2,20.0199
"ztf",58890.48170140013,2,18.8871
"ztf",58890.482152800076,2,18.9959
"ztf",58893.52342589991,2,19.9659
"ztf",58893.52436339995,2,19.9597
"ztf",58898.518101899885,2,20.686
"ztf",58898.53920139978,2,20.5906
"ztf",58903.497789400164,2,20.6094
"ztf",58911.49633099977,2,19.973
"ztf",58911.49726849981,2,19.8627
"ztf",58911.52400460001,1,20.2413
"ztf",58914.51902779983,2,20.7635
"ztf",58914.54099539993,2,20.66
"ztf",58956.35113430023,2,19.9002
"ztf",58964.402673599776,2,20.4921
"ztf",58964.40496530011,2,20.777
"ztf",58965.39900460001,1,20.8844
"ztf",58965.40135420021,1,21.0324
"ztf",58966.41687500011,1,20.9108
"ztf",58969.37535879994,2,18.4408
"ztf",58971.37993060006,2,20.3628
"ztf",58972.37907409994,2,20.3003
"ztf",58972.40207180008,2,19.4666
"ztf",58976.316701400094,2,19.2725
"ztf",58977.40054399986,2,18.5001
"ztf",58977.401006899774,2,18.437
"ztf",58978.28547450015,2,19.7049
"ztf",58978.29605320003,2,19.7526
"ztf",58979.3157060002,2,19.8121
"ztf",58980.275023099966,2,20.6948
"ztf",58985.27380790003,2,20.5489
"ztf",58985.311273099855,1,20.6484
"ztf",58985.311747699976,1,20.7617
"ztf",58986.38309030002,1,20.8127
