tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",58255.294097200036,"501294094215010005",2,501294094215,20.4812,-1,501,0.834188,18.5328,16.114132,"",18.6088,"",0.057412,100,0.006187789,0.0746,"",228.9328786,19.2577421,0.46,"","",18.6278,0.0912,"",false,true,false,"","bulk_1.0.0",0,516299474215015000
"ztf",58270.29947920004,"516299474215015004",2,516299474215,19.82337,1,516,0.6795897,18.171135,15.864792,"",18.0485,"",0.059663128,100,0.007131299,0.0788,"",228.9327674,19.2577009,0.53333336,"",0,18.0526,0.0989,582120242,false,true,false,"","bulk_1.0.0",0,534254474215015040
"ztf",58273.31711809989,"519317114215010001",2,519317114215,20.44589,-1,519,0.33259386,18.4326,16.125505,"",18.4237,"",0.05239162,100,0.0062578344,0.0709,"",228.93261,19.2579397,0.44,"",0,18.4155,0.0858,582120242,false,true,false,"","bulk_1.0.0",0,534254474215015040
"ztf",58288.25447920011,"534254474215015043",2,534254474215,20.638126,1,534,0.32899788,18.407656,15.890496,"",18.2645,"",0.08284279,100,0.008154381,0.0582,"",228.9327122,19.2577894,0.7266667,"",0,18.2083,0.066,582120242,false,true,false,"","bulk_1.0.0",0,540271114215015040
"ztf",58294.27111109998,"540271114215015034",2,540271114215,19.90449,1,540,0.36610374,17.712664,15.798661,"",17.7817,"",0.07431029,100,0.012748178,0.0622,"",228.9327637,19.257815,0.76,"",0,17.8437,0.0823,582120242,false,true,false,"","bulk_1.0.0",0,544269784215010000
"ztf",58298.26978009986,"544269784215010002",2,544269784215,19.822355,-1,544,0.057174955,18.314516,16.140509,"",18.5005,"",0.08917246,100,0.012040037,0.1155,"",228.9326559,19.2578717,0.80333334,"",0,18.4811,0.1426,582120242,true,true,false,"","bulk_1.0.0",0,0
"ztf",58343.15265050018,"589152654215015010",2,589152654215,20.239891,1,589,0.35867712,17.853445,15.821552,"",17.7667,"",0.090106115,100,0.01386747,0.0502,"",228.9327524,19.2577992,0.67333335,"t8_f5_c3",0,17.7557,0.0611,582120242,false,true,false,"","bulk_1.0.0",0,611145854215010000
"ztf",58362.141342599876,"608141344215015008",2,608141344215,20.449408,1,608,0.5483599,17.975689,15.839493,"",18.0443,"",0.08779297,100,0.012273866,0.0535,"",228.9328067,19.2577804,0.6933333,"t8_f5_c3",0,18.051,0.0651,582120242,false,true,false,"","bulk_1.0.0",0,611145854215010000
"ztf",58365.14585650014,"611145854215010005",2,611145854215,20.469604,-1,611,0.5925268,18.639158,16.103268,"",18.6571,"",0.1607453,100,0.015551851,0.0888,"",228.9326059,19.2580263,0.6166667,"t8_f5_c3",0,18.7266,0.1151,582120242,true,true,false,"","bulk_1.0.0",0,0
"ztf",58468.54569440009,"714545694215015008",1,714545694215,20.248102,1,714,0.32782218,17.248835,15.761611,"",17.2342,"",0.05334586,0.0076596965,0.01355849,0.026,"",228.9326898,19.2577765,0.80333334,"t8_f5_c3",0,17.2419,0.0311,582120142,false,true,false,"","bulk_1.0.0",0,733515394215010000
"ztf",58480.52782410011,"726527824215015022",1,726527824215,19.417477,1,726,0.3674444,17.708767,15.861348,"",17.768,"",0.06814958,0.0020292315,0.0124307,0.0563,"",228.9326658,19.2577613,0.85,"t8_f5_c3",0,17.7871,0.0712,582120142,false,true,false,"","bulk_1.0.0",0,733515394215010000
"ztf",58487.515393500216,"733515394215010011",1,733515394215,20.598854,-1,733,0.17165303,18.418505,16.213915,"",18.3769,"",0.116858125,100,0.015339921,0.0599,"",228.9326262,19.2578852,0.75,"t8_f5_c3",0,18.3781,0.0719,582120142,false,true,false,"","bulk_1.0.0",0,748471184215010000
"ztf",58487.548726900015,"733548724215010004",2,733548724215,20.6357,-1,733,0.105315,18.5606,16.11118,"",18.5796,"",0.36544,0.030456878,0.038286656,0.0762,"",228.9326626,19.2579011,0.416667,"t12_f5_c3","",18.5525,0.0898,"",false,true,false,"","bulk_1.0.0",0,748471184215010000
"ztf",58491.51533559989,"737515334215010017",1,737515334215,19.988878,-1,737,0.15424308,18.101126,16.263418,"",18.1057,"",0.067550756,100,0.012432171,0.0591,"",228.9327149,19.2578441,0.8,"t8_f5_c3",0,18.1145,0.0727,582120142,false,true,false,"","bulk_1.0.0",0,748471184215010000
"ztf",58502.471180600114,"748471184215010000",1,748471184215,18.85302,-1,748,0.39367568,18.436663,16.211554,"",18.6766,"",0.21068569,0.021208934,0.027138859,0.2472,"",228.9326872,19.2579745,0.5757143,"t15_f5_c3",0,18.672,0.3142,582120142,false,true,false,"","bulk_1.0.0",0,772545184215010000
"ztf",58505.46880789986,"751468804215010001",1,751468804215,18.854755,-1,751,0.35143453,18.63174,16.188793,"",18.7029,"",0.1645412,0.005080686,0.017341875,0.2107,"",228.9326412,19.2579582,0.65,"t15_f5_c3",0,18.6741,0.2616,582120142,false,true,false,"","bulk_1.0.0",0,772545184215010000
"ztf",58508.5172917,"754517294215015011",2,754517294215,19.765196,1,754,0.6235331,17.918673,15.83134,"",17.9163,"",0.09182246,100,0.013428135,0.0661,"",228.9328251,19.2577677,0.7285714,"t15_f5_c3",0,17.8928,0.0807,582120242,false,true,false,"","bulk_1.0.0",0,772545184215010000
"ztf",58511.502569399774,"757502564215015007",1,757502564215,19.629,1,757,0.235212,17.0463,15.706446,"",17.0299,"",0.054869,0.011919194,0.01597295,0.0297,"",228.9326987,19.2578024,0.657143,"t15_f5_c3","",17.0244,0.0364,"",false,true,false,"","bulk_1.0.0",0,772545184215010000
"ztf",58522.51800929988,"768518004215015028",1,768518004215,20.646189,1,768,0.16038875,17.870207,15.889061,"",17.9799,"",0.0856698,0.005708641,0.01381559,0.0397,"",228.9326941,19.2578283,0.7214286,"t15_f5_c3",0,17.9846,0.0464,582120142,false,true,false,"","bulk_1.0.0",0,772545184215010000
"ztf",58526.52406249987,"772524064215015023",2,772524064215,20.142172,1,772,0.5774049,17.972225,15.839008,"",17.9217,"",0.05738353,100,0.008044525,0.0511,"",228.9327096,19.2577149,0.83428574,"t15_f5_c3",0,17.9076,0.0613,582120242,false,true,false,"","bulk_1.0.0",0,772545184215010000
