,SNID,MJD,BAND,CCDNUM,FIELD,PHOTFLAG,PHOTPROB,FLUXCAL,FLUXCALERR,PSF_SIG1,PSF_SIG2,PSF_RATIO,SKY_SIG,SKY_SIG_T,RDNOISE,ZEROPT,ZEROPT_ERR,GAIN,XPIX,YPIX,SIM_FLUXCAL_HOSTERR,SIM_MAGOBS,SNTYPE
0,15415799,60355.3538,i,-9,VOID,0,-9.0,13.137266,5.545203,1.54,0.0,0.0,33.28,0.0,0.25,31.32,0.005,1.0,-9.0,-9.0,0.0,24.673489,112
1,15415799,60355.3652,r,-9,VOID,0,-9.0,16.088528,4.141138,1.75,0.0,0.0,26.33,0.0,0.25,31.53,0.005,1.0,-9.0,-9.0,0.0,24.538502,112
2,15415799,60356.3683,Y,-9,VOID,0,-9.0,47.521164,26.151295,1.91,0.0,0.0,42.04,0.0,0.25,30.1,0.005,1.0,-9.0,-9.0,0.0,24.582405,112
3,15415799,60356.3786,Y,-9,VOID,0,-9.0,16.447775,26.168417,1.84,0.0,0.0,43.76,0.0,0.25,30.1,0.005,1.0,-9.0,-9.0,0.0,24.581408,112
4,15415799,60366.3036,Y,-9,VOID,0,-9.0,82.48937,33.465935,1.82,0.0,0.0,56.54,0.0,0.25,30.1,0.005,1.0,-9.0,-9.0,0.0,23.806652,112
5,15415799,60366.3266,Y,-9,VOID,0,-9.0,37.472298,30.83395,1.73,0.0,0.0,55.89,0.0,0.25,30.12,0.005,1.0,-9.0,-9.0,0.0,23.80549,112
6,15415799,60372.3126,i,-9,VOID,0,-9.0,31.72845,11.770934,2.63,0.0,0.0,43.42,0.0,0.25,31.35,0.005,1.0,-9.0,-9.0,0.0,23.55046,112
7,15415799,60372.3366,z,-9,VOID,0,-9.0,29.7401,16.427778,2.37,0.0,0.0,48.81,0.0,0.25,31.0,0.005,1.0,-9.0,-9.0,0.0,23.540466,112
8,15415799,60373.358,i,-9,VOID,0,-9.0,37.431232,5.997197,1.52,0.0,0.0,36.92,0.0,0.25,31.34,0.005,1.0,-9.0,-9.0,0.0,23.54209,112
9,15415799,60378.3432,r,-9,VOID,6144,-9.0,26.708607,4.1497746,1.77,0.0,0.0,25.87,0.0,0.25,31.53,0.005,1.0,-9.0,-9.0,0.0,23.930307,112
10,15415799,60378.3636,i,-9,VOID,4096,-9.0,36.947437,6.3204107,1.75,0.0,0.0,32.97,0.0,0.25,31.31,0.005,1.0,-9.0,-9.0,0.0,23.534615,112
11,15415799,60378.3696,i,-9,VOID,4096,-9.0,44.204746,5.987226,1.67,0.0,0.0,32.81,0.0,0.25,31.32,0.005,1.0,-9.0,-9.0,0.0,23.534613,112
12,15415799,60378.381,r,-9,VOID,0,-9.0,29.682333,4.944423,2.1,0.0,0.0,26.05,0.0,0.25,31.52,0.005,1.0,-9.0,-9.0,0.0,23.932016,112
13,15415799,60383.3539,g,-9,VOID,0,-9.0,4.4426994,2.8156729,1.92,0.0,0.0,16.31,0.0,0.25,31.52,0.005,1.0,-9.0,-9.0,0.0,25.836977,112
14,15415799,60383.3818,r,-9,VOID,0,-9.0,21.031555,4.532632,1.89,0.0,0.0,26.26,0.0,0.25,31.51,0.005,1.0,-9.0,-9.0,0.0,24.198458,112
15,15415799,60390.2772,Y,-9,VOID,0,-9.0,1.1162643,26.974087,1.89,0.0,0.0,43.97,0.0,0.25,30.1,0.005,1.0,-9.0,-9.0,0.0,24.184032,112
16,15415799,60390.3002,Y,-9,VOID,0,-9.0,41.67891,28.496334,2.02,0.0,0.0,43.38,0.0,0.25,30.1,0.005,1.0,-9.0,-9.0,0.0,24.184843,112
17,15415799,60399.2346,z,-9,VOID,0,-9.0,32.9001,14.25966,1.68,0.0,0.0,60.75,0.0,0.25,31.02,0.005,1.0,-9.0,-9.0,0.0,24.551878,112
18,15415799,60399.2589,Y,-9,VOID,0,-9.0,35.827396,24.244415,1.56,0.0,0.0,48.15,0.0,0.25,30.11,0.005,1.0,-9.0,-9.0,0.0,24.25013,112
19,15415799,60399.3358,Y,-9,VOID,0,-9.0,-0.13335808,25.462616,1.58,0.0,0.0,48.72,0.0,0.25,30.08,0.005,1.0,-9.0,-9.0,0.0,24.25058,112
20,15415799,60399.3584,Y,-9,VOID,0,-9.0,-7.2455654,27.788134,1.6,0.0,0.0,51.58,0.0,0.25,30.06,0.005,1.0,-9.0,-9.0,0.0,24.250711,112
21,15415799,60399.404,z,-9,VOID,0,-9.0,8.964449,25.899956,2.53,0.0,0.0,69.78,0.0,0.25,30.96,0.005,1.0,-9.0,-9.0,0.0,24.556095,112
22,15415799,60399.4108,z,-9,VOID,0,-9.0,5.851719,26.244413,2.26,0.0,0.0,78.44,0.0,0.25,30.95,0.005,1.0,-9.0,-9.0,0.0,24.556265,112
23,15415799,60400.2684,z,-9,VOID,0,-9.0,33.000797,13.120346,1.79,0.0,0.0,52.38,0.0,0.25,31.02,0.005,1.0,-9.0,-9.0,0.0,24.57777,112
24,15415799,60400.2927,Y,-9,VOID,0,-9.0,39.04982,24.261906,1.67,0.0,0.0,45.0,0.0,0.25,30.11,0.005,1.0,-9.0,-9.0,0.0,24.261402,112
25,15415799,60401.3285,i,-9,VOID,0,-9.0,16.841825,7.9641714,1.79,0.0,0.0,42.5,0.0,0.25,31.34,0.005,1.0,-9.0,-9.0,0.0,24.58648,112
26,15415799,60401.353,z,-9,VOID,0,-9.0,-4.1849556,12.014875,1.64,0.0,0.0,51.05,0.0,0.25,30.99,0.005,1.0,-9.0,-9.0,0.0,24.603884,112
27,15415799,60405.2822,r,-9,VOID,0,-9.0,6.979566,5.3165607,2.31,0.0,0.0,26.1,0.0,0.25,31.53,0.005,1.0,-9.0,-9.0,0.0,25.908506,112
28,15415799,60406.235,u,-9,VOID,0,-9.0,1.1225624,6.559906,2.43,0.0,0.0,4.97,0.0,0.25,29.55,0.005,1.0,-9.0,-9.0,0.0,31.444923,112
29,15415799,60406.2585,g,-9,VOID,0,-9.0,0.63301915,3.5917642,2.46,0.0,0.0,16.48,0.0,0.25,31.52,0.005,1.0,-9.0,-9.0,0.0,28.043158,112
