angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M
0.000000,J025740.08+003543.3,44.4170336,+0.5953820,0.2011,0.1815,150.9,16.502,15.829,12.797,9.218,,,,0.071,0.126,,,,,,438100001351049925,0000,0,0nnn,ABUU,-565,425,222,454,,J025740.08+003543.3,44.4170336,+0.5953820,0.2011,0.1815,150.9,16.502,15.829,12.797,9.218,,,,0.071,0.126,,,,,,438100001351049925,0000,0,0nnn,ABUU,-565,425,222,454,
0.000000,J025739.88+003553.6,44.4161794,+0.5982451,0.2591,0.2332,150.3,16.808,16.564,12.165,9.291,,,,0.084,0.250,,,,,,438100001351050108,0000,0,nnnn,ABUU,-409,598,-281,630,,J025739.88+003553.6,44.4161794,+0.5982451,0.2591,0.2332,150.3,16.808,16.564,12.165,9.291,,,,0.084,0.250,,,,,,438100001351050108,0000,0,nnnn,ABUU,-409,598,-281,630,
0.000000,J025735.58+003628.6,44.3982517,+0.6079618,0.2889,0.2599,147.0,16.807,16.989,12.671,9.046,,,,0.090,0.383,,,,,,438100001351050220,0000,0,nnnn,ACUU,-325,665,-256,693,,J025735.58+003628.6,44.3982517,+0.6079618,0.2889,0.2599,147.0,16.807,16.989,12.671,9.046,,,,0.090,0.383,,,,,,438100001351050220,0000,0,nnnn,ACUU,-325,665,-256,693,
0.000000,J025737.53+003519.5,44.4063780,+0.5887633,0.4017,0.3641,149.1,17.228,17.211,12.309,8.868,,,,0.122,,,,,,,438100001351050351,0000,0,nnnn,BUUU,394,987,942,1032,,J025737.53+003519.5,44.4063780,+0.5887633,0.4017,0.3641,149.1,17.228,17.211,12.309,8.868,,,,0.122,,,,,,,438100001351050351,0000,0,nnnn,BUUU,394,987,942,1032,
0.000000,J025739.14+003522.2,44.4130858,+0.5895001,0.3284,0.2927,147.5,17.033,17.453,12.634,9.338,,,,0.100,,,,,,,438100001351050344,0000,0,nnnn,AUUU,-25,759,-717,802,,J025739.14+003522.2,44.4130858,+0.5895001,0.3284,0.2927,147.5,17.033,17.453,12.634,9.338,,,,0.100,,,,,,,438100001351050344,0000,0,nnnn,AUUU,-25,759,-717,802,
0.000000,J025742.14+003543.8,44.4255980,+0.5955166,0.5650,0.5071,155.4,17.740,17.005,12.249,9.210,,,,0.188,0.365,,,,,,438100001351050468,0000,0,nnnn,BCUU,1002,1546,526,1646,,J025742.14+003543.8,44.4255980,+0.5955166,0.5650,0.5071,155.4,17.740,17.005,12.249,9.210,,,,0.188,0.365,,,,,,438100001351050468,0000,0,nnnn,BCUU,1002,1546,526,1646,
0.000000,J025734.53+003544.1,44.3939049,+0.5955945,0.1232,0.1119,153.9,15.783,15.255,11.409,9.300,,,,0.046,0.093,0.139,,,,,438100001351049749,0000,0,0nnn,AABU,323,238,-496,256,,J025734.53+003544.1,44.3939049,+0.5955945,0.1232,0.1119,153.9,15.783,15.255,11.409,9.300,,,,0.046,0.093,0.139,,,,,438100001351049749,0000,0,0nnn,AABU,323,238,-496,256,
0.000000,J025738.16+003541.2,44.4090184,+0.5947871,0.1074,0.0990,146.6,15.512,15.355,12.509,9.297,,,,0.041,0.086,,,,,,438100001351049704,0000,0,1nnn,AAUU,-148,184,124,194,,J025738.16+003541.2,44.4090184,+0.5947871,0.1074,0.0990,146.6,15.512,15.355,12.509,9.297,,,,0.041,0.086,,,,,,438100001351049704,0000,0,1nnn,AAUU,-148,184,124,194,
0.000000,J025739.34+003619.7,44.4139415,+0.6054835,0.5549,0.4968,153.3,17.658,17.293,12.899,8.771,,,,0.173,0.480,,,,,,438100001351050797,0000,0,nnnn,BCUU,9,1446,303,1544,,J025739.34+003619.7,44.4139415,+0.6054835,0.5549,0.4968,153.3,17.658,17.293,12.899,8.771,,,,0.173,0.480,,,,,,438100001351050797,0000,0,nnnn,BCUU,9,1446,303,1544,
0.000000,J025733.35+003556.1,44.3889678,+0.5989181,0.5266,0.4726,150.8,17.565,16.764,12.755,8.843,,,,0.171,0.334,,,,,,438100001351050713,0000,0,nnnn,BBUU,2005,1227,-203,1302,,J025733.35+003556.1,44.3889678,+0.5989181,0.5266,0.4726,150.8,17.565,16.764,12.755,8.843,,,,0.171,0.334,,,,,,438100001351050713,0000,0,nnnn,BBUU,2005,1227,-203,1302,
0.000000,J025735.03+003619.0,44.3959647,+0.6052927,0.3003,0.2712,147.5,16.914,16.748,12.924,9.178,,,,0.097,0.306,,,,,,438100001351050256,0000,0,nnnn,ABUU,-86,750,907,781,,J025735.03+003619.0,44.3959647,+0.6052927,0.3003,0.2712,147.5,16.914,16.748,12.924,9.178,,,,0.097,0.306,,,,,,438100001351050256,0000,0,nnnn,ABUU,-86,750,907,781,
0.000000,J025741.99+003621.6,44.4249775,+0.6060257,0.1948,0.1785,148.0,16.409,16.652,12.333,8.767,,,,0.063,0.277,,,,,,438100001351049923,0000,0,1nnn,ABUU,-430,423,99,444,,J025741.99+003621.6,44.4249775,+0.6060257,0.1948,0.1785,148.0,16.409,16.652,12.333,8.767,,,,0.063,0.277,,,,,,438100001351049923,0000,0,1nnn,ABUU,-430,423,99,444,
0.000000,J025738.37+003653.1,44.4098885,+0.6147704,0.4035,0.3679,148.9,17.348,16.544,12.482,8.773,,,,0.134,0.249,,,,,,438100001351050546,0000,0,nnnn,BBUU,142,1001,-1039,1045,,J025738.37+003653.1,44.4098885,+0.6147704,0.4035,0.3679,148.9,17.348,16.544,12.482,8.773,,,,0.134,0.249,,,,,,438100001351050546,0000,0,nnnn,BBUU,142,1001,-1039,1045,
0.000000,J025744.02+003613.2,44.4334322,+0.6036847,0.2372,0.2185,149.8,16.732,16.502,12.468,9.268,,,,0.079,0.226,0.356,,,,,438100001351050024,0000,0,0nnn,ABCU,-203,563,-484,591,,J025744.02+003613.2,44.4334322,+0.6036847,0.2372,0.2185,149.8,16.732,16.502,12.468,9.268,,,,0.079,0.226,0.356,,,,,438100001351050024,0000,0,0nnn,ABCU,-203,563,-484,591,
0.000000,J025745.28+003648.1,44.4386709,+0.6133723,0.4370,0.3526,169.7,17.038,16.662,12.036,8.864,,,,0.125,0.325,,,,,,438100001351050440,0000,0,nnnn,BBUU,-928,982,-1881,1049,,J025745.28+003648.1,44.4386709,+0.6133723,0.4370,0.3526,169.7,17.038,16.662,12.036,8.864,,,,0.125,0.325,,,,,,438100001351050440,0000,0,nnnn,BBUU,-928,982,-1881,1049,
