oid,oid_kept
169298433217659194,169355603113673258
169355602459885660,169355602858869595
169355602579423428,169355602858869595
169355602459885660,169355602728321262
169342390938632206,169355602712592487
169342391093297169,169355602712592487
169342390691692677,169355602712592487
169355602728321262,169355602459885660
169342390837444651,169342391933206625
169342391106404453,169342391933206625
169342390707945539,169342391933206625
169342391131046160,169342391535796286
169342391399481686,169342391535796286
169623885894909970,169342391535796286
169342391330275369,169342391467114602
169566723312189484,169342391467114602
169342390793928766,169342391215980573
169342391215980573,169342390793928766
169342391109550167,169302854946258993
169298432604766256,169298433030488110
169355602536955935,169298433026818070
169298433030488110,169298432604766256
169549125705007150,169549125839224881
169549125839224881,169549125705007150
169364386922102813,169364387413360656
169623886032797708,169355602825839424
169342392489476594,169342393025822797
169342392489476594,169342392891080939
169342392606392477,169342392891080939
169342393025822797,169342392740610506
169342392740610506,169342392606392477
169342392891080939,169342392606392477
169342393025822797,169342392489476594
169342390861037593,169342391548903430
169342391667916814,169342391376412685
169342391107977263,169342391376412685
169342390922379340,169342391330275362
169342391210737699,169342391330275362
169342391548903430,169342391282565122
169342391398432778,169342391282565122
169342390793928803,169342391215980621
169342390922379340,169342391210737699
169342391330275362,169342391210737699
169342390953312266,169342391107977263
169342391376412685,169342391107977263
169342390788685912,169342391058169943
169342390661283855,169342390922379340
169342391548903430,169342390861037593
169342391215980621,169342390793928803
169342391058169943,169342390788685912
169342390972711030,169342390728917123
169342391127376019,169342390728917123
169342391395287115,169342390728917123
169342391263690893,169342390728917123
169342390922379340,169342390661283855
169566726346768399,169566726232997905
169562329391300630,169562329122340918
169562328988647467,169562329122340918
169562328987074772,169562329120768242
169562329120768242,169562328987074772
169562329101893682,169562328967675927
169562329096650826,169562328962433081
169342391229612056,169364382652825652
169342390675439674,169364382652825652
169342391073898501,169364382652825652
169355603648970877,169355606329656090
169342394429342156,169355606329656090
169342391510106715,169355603336496567
169342391351247005,169355603336496567
169342391882350755,169355603215910140
169355603513180177,169355602994135063
169355603647922716,169355602994135063
169355602437865551,169355602706825286
169355605926477959,169355602684280998
169342390674391046,169355602684280998
169342391105880122,169355602534334739
169342390970089500,169355602534334739
169355602706825286,169355602437865551
169355603648970877,169342394429342156
169355606329656090,169342394429342156
169342392961335367,169342393522323465
169342392950849557,169342393353502786
169342393353502786,169342393206177934
169342392530894941,169342393206177934
169342393353502786,169342392950849557
169342393522323465,169342392827641860
169342391907516588,169342392044355726
169355603215910140,169342391882350755
169342390831677454,169342391777493163
169342391606575255,169342391726112902
169342391502242103,169342391654285590
169342390940205190,169342391634886885
169342391479697515,169342391634886885
169342391201824913,169342391606575255
169342391654285590,169342391502242103
169342391081763083,169342391489658978
169342391074422879,169342391478124637
169342390831677504,169342391372742899
169342391104307473,169342391372742899
169342390968516999,169342391372742899
169342391104307307,169342391369072641
169342390828531721,169342391368024079
169342390963798118,169342391368024079
169342391510106715,169342391351247005
169355603336496567,169342391351247005
169342390799171866,169342391338664303
169342390936010906,169342391338664303
169342390920806503,169342391327129699
169342391207591953,169342391327129610
169342391210737715,169342391326605374
169342391609196614,169342391323459595
169342390919233624,169342391323459595
169355603198608207,169342391240098241
169342390803365947,169342391228563518
169342391882350802,169342391212311390
169342390790258764,169342391212311390
169342390786064514,169342391208116323
169342390672818285,169342391208116323
169342391058694206,169342391208116228
169342391070752854,169342391207592021
169342391057645707,169342391206543453
169342390657089643,169342391206543453
169342391876059370,169342391206019242
169342390919233585,169342391206019197
169342391606575255,169342391201824913
169342390783442963,169342391192912312
169342390650798447,169342391188194012
169342390947021014,169342391103258632
169342391253205073,169342391101161524
169342390674391063,169342391074947145
169342390802317394,169342391074947145
169342390925000769,169342391074947132
169342390672818305,169342391074422878
169342391208116340,169342391074422878
169342390801793122,169342391074422878
169342390924476443,169342391074422817
169342391229612056,169342391073898501
169342390675439674,169342391073898501
169364382652825652,169342391073898501
169342390674915440,169342391073374225
169342391327129699,169342391070752902
169342390801268830,169342391070752902
169342391207592021,169342391070752854
169342391326081133,169342391059218552
169342390786588782,169342391059218552
169342390657089653,169342391059218552
169342391880253625,169342391059218552
169342390786588764,169342391059218529
169342390656565614,169342391058694234
169342391325556889,169342391058694234
169342391327129610,169342391058694216
169342391208116228,169342391058694206
169342391461871715,169342391055024223
169342391207591945,169342391055024223
169342391726112902,169342391053975651
169342391320838274,169342391053975651
